Name,ID
Todos,0
Aguascalientes,1
Ensenada,2
Río Colorado,3
Comondú,5
La Paz,6
Los Cabos,7
Mulegé,4
Campeche,9
Champotón,10
Escárcega,11
Hecelchakán,8
Acuña,12
Frontera,14
Laguna-Coahuila,192
Sabinas,13
Saltillo,15
Colima,16
Tecomán,17
Comitán,20
Motozintla,24
Palenque,23
Pichucalco,22
San Cristóbal de las Casas,19
Selva Lacandona,27
Tapachula,25
Tonalá,26
Tuxtla Gutiérrez,18
Villa Flores,21
Bajo Río Conchos,36
Balleza,38
Buenaventura,29
Casas Grandes,28
Chihuahua,35
Cuauhtémoc,33
Delicias,40
El Carmen,30
Madera,32
Papigochi,34
Parral,39
Río Florido,41
San Juanito,37
Valle de Juárez,31
,-1
Xochimilco,42
Durango,43
El Salto,44
Guadalupe Victoria,45
Laguna-Durango,191
Santiago Papasquiaro,47
Villa Ocampo,46
Celaya,51
Cortazar,52
Dolores Hidalgo,48
León,50
San Luis de la Paz,49
Altamirano,55
Atoyac,53
Chilpancingo,56
Iguala,58
Las Vigas,54
Tlapa,57
Huejutla,59
Huichapan,64
Mixquiahuala,63
Pachuca,62
Tulancingo,61
Zacualtipán,60
Ameca,67
Ciudad Guzmán,71
Colotlán,72
El Grullo,69
La Barca,70
Lagos de Moreno,66
Tomatlán,68
Zapopan,65
Atlacomulco,77
Coatepec Harinas,78
Jilotepec,80
Tejupilco,76
Texcoco,75
Toluca,73
Valle de Bravo,79
Zumpango,74
Aguililla,82
Apatzingán,85
Coahuayana,81
Huacana,84
Huetamo,92
La Piedad,89
Lázaro Cárdenas,83
Morelia,91
Pátzcuaro,90
Sahuayo,88
Uruapan,86
Zamora,87
Zitácuaro,93
Zacatepec-Galeana,94
Acaponeta,98
Ahuacatlán,97
Compostela,96
Santiago Ixcuintla,95
Tepic,99
Anáhuac,100
Apodaca,101
Galeana,103
Montemorelos,102
Cañada,109
Costa,106
Huajuapan de León,104
Istmo,107
Sierra Juárez,108
Tuxtepec,110
Valles Centrales,105
Cholula,115
Huauchinango,111
Izúcar de Matamoros,116
Libres,114
Tecamachalco,117
Tehuacán,118
Teziutlán,113
Zacatlán,112
Cadereyta,120
Jalpan,119
Querétaro,122
San Juan del Río,121
Cancún,125
Chetumal,123
Felipe Carrillo Puerto,124
Ciudad Fernández,130
Ciudad Valles,131
Ebano,132
Matehuala,128
Rioverde,129
Salinas,127
San Luis Potosí,126
Culiacán,136
Guamúchil,135
Guasave,134
La Cruz,137
Los Mochis,133
Mazatlán,138
Agua Prieta,141
Caborca,139
Cajeme,148
Guaymas,147
Hermosillo,144
Magdalena,140
Mazatán,145
Moctezuma,143
Navojoa,149
Sahuaripa,146
San Luis Río Colorado,193
Ures,142
Cárdenas,151
Emiliano Zapata,153
Plan Balancan-Tenosique,154
Plan Chontalpa,152
Villahermosa,150
Abasolo,159
Control,157
Díaz Ordaz,156
González,163
Jaumave,161
Laredo,155
Mante,162
San Fernando,158
Victoria,160
Calpulalpan,165
Huamantla,166
Tlaxcala,164
Choapas,177
Ciudad Alemán,174
Coatepec,170
Fortín,171
Huayacocotla,167
Jáltipan,176
La Antigua,172
Martínez de la Torre,169
Pánuco,178
San Andrés Tuxtla,175
Tuxpan,168
Veracruz,173
Mérida,179
Ticul,180
Tizimín,181
Valladolid,182
Concepción del Oro,188
Fresnillo,183
Jalpa,190
Jerez,187
Ojo Caliente,185
Río Grande,184
Tlaltenango,186
Zacatecas,189
