Entidad,Municipio,Superficie Sembrada,Superficie Cosechada,Superficie Siniestrada,Produccion,Rendimiento,Anio,Mes,Cultivo
Baja California Sur,La Paz,3.00,0.00,0.00,0.00,0,2018,3,6
Colima,Manzanillo,1.40,0.00,0.00,0.00,0,2018,3,6
Durango,Durango,12.00,0.00,0.00,0.00,0,2018,3,6
Durango,Mezquital,110.00,0.00,0.00,0.00,0,2018,3,6
Durango,Nombre de Dios,165.00,0.00,0.00,0.00,0,2018,3,6
Durango,Súchil,50.00,0.00,0.00,0.00,0,2018,3,6
Durango,Vicente Guerrero,45.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Abasolo,241.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Acámbaro,91.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,San Miguel de Allende,10.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Apaseo El Alto,3.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Apaseo El Grande,9.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Manuel Doblado,420.00,30.00,0.00,"2,640.00",88.00,2018,3,6
Guanajuato,Comonfort,66.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Cortazar,6.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Cuerámaro,115.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Guanajuato,21.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Huanímaro,160.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Irapuato,59.30,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Jerécuaro,232.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,León,165.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Pénjamo,930.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Pueblo Nuevo,52.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Purísima del Rincón,530.00,35.00,0.00,"2,835.00",81.00,2018,3,6
Guanajuato,Romita,"3,050.00",69.00,0.00,"5,947.00",86.19,2018,3,6
Guanajuato,Salamanca,24.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,San Felipe,"5,250.00",0.00,0.00,0.00,0,2018,3,6
Guanajuato,San Francisco del Rincón,540.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Santa Cruz de Juventino Rosas,12.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Silao de La Victoria,204.00,15.00,0.00,"1,317.00",87.80,2018,3,6
Guanajuato,Tarimoro,9.00,0.00,0.00,0.00,0,2018,3,6
Guanajuato,Valle de Santiago,15.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Ahuacuotzingo,40.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Atenango del Río,30.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Copalillo,2.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Cuetzala del Progreso,7.50,0.00,0.00,0.00,0,2018,3,6
Guerrero,Chilapa de Álvarez,19.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Chilpancingo de Los Bravo,147.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,General Heliodoro Castillo,62.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Huitzuco de Los Figueroa,58.00,3.00,0.00,89.28,29.76,2018,3,6
Guerrero,Ixcateopan de Cuauhtémoc,5.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Zihuatanejo de Azueta,18.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Leonardo Bravo,37.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Mártir de Cuilapan,476.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Mochitlán,27.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Pilcaya,41.90,0.00,0.00,0.00,0,2018,3,6
Guerrero,Quechultenango,15.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Taxco de Alarcón,22.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Técpan de Galeana,5.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Teloloapan,49.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Tetipac,39.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Tixtla de Guerrero,502.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Zitlala,49.00,0.00,0.00,0.00,0,2018,3,6
Guerrero,Eduardo Neri,91.50,0.00,0.00,0.00,0,2018,3,6
Jalisco,Acatic,"1,070.00",85.00,0.00,"7,395.00",87.00,2018,3,6
Jalisco,Acatlán de Juárez,326.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Ahualulco de Mercado,643.00,30.00,0.00,"2,500.00",83.33,2018,3,6
Jalisco,Amacueca,77.43,0.00,0.00,0.00,0,2018,3,6
Jalisco,Amatitán,"1,450.00",50.00,0.00,"4,620.00",92.40,2018,3,6
Jalisco,Ameca,437.00,12.00,0.00,"1,045.00",87.08,2018,3,6
Jalisco,San Juanito de Escobedo,530.00,35.00,0.00,"2,950.00",84.29,2018,3,6
Jalisco,Arandas,"12,416.00",773.00,0.00,"68,721.70",88.90,2018,3,6
Jalisco,El Arenal,297.00,30.00,0.00,"2,499.60",83.32,2018,3,6
Jalisco,Atengo,445.00,14.89,0.00,"1,130.00",75.89,2018,3,6
Jalisco,Atenguillo,16.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Atotonilco El Alto,"2,087.00",132.00,0.00,"13,050.00",98.86,2018,3,6
Jalisco,Atoyac,10.83,0.00,0.00,0.00,0,2018,3,6
Jalisco,Autlán de Navarro,791.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Ayotlán,420.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Ayutla,135.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,La Barca,685.00,80.00,0.00,"7,187.00",89.84,2018,3,6
Jalisco,Cabo Corrientes,180.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Zapotlán el Grande,170.23,0.00,0.00,0.00,0,2018,3,6
Jalisco,Cocula,333.00,48.00,0.00,"4,398.00",91.63,2018,3,6
Jalisco,Colotlán,18.40,0.00,0.00,0.00,0,2018,3,6
Jalisco,Cuquío,760.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Chapala,25.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Ejutla,33.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Encarnación de Díaz,110.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Etzatlán,310.00,28.00,0.00,"2,400.00",85.71,2018,3,6
Jalisco,El Grullo,121.50,0.00,0.00,0.00,0,2018,3,6
Jalisco,Guachinango,107.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Hostotipaquillo,341.00,20.00,0.00,"1,830.00",91.50,2018,3,6
Jalisco,Ixtlahuacán de Los Membrillos,80.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Ixtlahuacán del Río,155.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Jamay,394.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Jesús María,"7,943.00",605.00,0.00,"54,655.74",90.34,2018,3,6
Jalisco,Jocotepec,198.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Juanacatlán,169.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Juchitlán,315.00,16.50,0.00,"1,285.19",77.89,2018,3,6
Jalisco,El Limón,375.22,0.00,0.00,0.00,0,2018,3,6
Jalisco,Magdalena,650.00,45.00,0.00,"4,215.00",93.67,2018,3,6
Jalisco,Mascota,30.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Mexticacán,168.00,12.00,0.00,947.88,78.99,2018,3,6
Jalisco,Mezquitic,4.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Mixtlán,92.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Ocotlán,267.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Pihuamo,"2,215.00",694.00,0.00,"68,012.00",98.00,2018,3,6
Jalisco,Poncitlán,150.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Villa Purificación,70.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,El Salto,38.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,San Cristóbal de La Barranca,460.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,San Diego de Alejandría,919.00,44.00,0.00,"3,461.92",78.68,2018,3,6
Jalisco,San Julián,114.00,9.00,0.00,674.91,74.99,2018,3,6
Jalisco,San Marcos,11.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,San Martín de Bolaños,2.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,San Martín Hidalgo,460.00,15.00,0.00,"1,296.20",86.41,2018,3,6
Jalisco,San Miguel El Alto,123.00,8.00,0.00,707.28,88.41,2018,3,6
Jalisco,Gómez Farías,338.63,0.00,0.00,0.00,0,2018,3,6
Jalisco,San Sebastián del Oeste,78.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Sayula,450.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Tala,388.00,25.00,0.00,"2,274.00",90.96,2018,3,6
Jalisco,Talpa de Allende,16.50,0.00,0.00,0.00,0,2018,3,6
Jalisco,Tecalitlán,349.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Tecolotlán,248.00,16.50,0.00,"1,285.19",77.89,2018,3,6
Jalisco,Techaluta de Montenegro,123.96,0.00,0.00,0.00,0,2018,3,6
Jalisco,Tenamaxtlán,282.00,19.00,0.00,"1,443.62",75.98,2018,3,6
Jalisco,Teocaltiche,45.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Teocuitatlán de Corona,413.05,0.00,0.00,0.00,0,2018,3,6
Jalisco,Tepatitlán de Morelos,"4,002.00",251.00,0.00,"22,558.20",89.87,2018,3,6
Jalisco,Tequila,"4,475.00",325.00,0.00,"30,250.00",93.08,2018,3,6
Jalisco,Teuchitlán,480.00,30.00,0.00,"2,418.48",80.62,2018,3,6
Jalisco,Tizapán El Alto,104.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Tlajomulco de Zúñiga,193.75,0.00,0.00,0.00,0,2018,3,6
Jalisco,Tolimán,678.66,0.00,0.00,0.00,0,2018,3,6
Jalisco,Tonalá,58.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Tonaya,"1,220.00",0.00,0.00,0.00,0,2018,3,6
Jalisco,Tonila,530.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Totatiche,2.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Tuxcacuesco,714.00,0.00,0.00,0.00,0,2018,3,6
Jalisco,Tuxcueca,25.00,0.00,0.00,0.00,0,2018,3,6
