fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
10/07/2018,Caja de 9 kg.,Tamaulipas,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.56,20.00,17.78,,aguacate criollo_primera
11/07/2018,Caja de 9 kg.,Tamaulipas,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.67,17.78,16.67,,aguacate criollo_primera
12/07/2018,Caja de 9 kg.,Tamaulipas,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",13.33,15.56,13.33,,aguacate criollo_primera
13/07/2018,Caja de 9 kg.,Tamaulipas,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",13.33,15.56,13.33,,aguacate criollo_primera
16/07/2018,Caja de 9 kg.,Tamaulipas,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",13.33,15.56,13.33,,aguacate criollo_primera
17/07/2018,Caja de 9 kg.,Tamaulipas,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",13.33,13.33,13.33,,aguacate criollo_primera
18/07/2018,Caja de 9 kg.,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.78,20.00,17.78,,aguacate criollo_primera
19/07/2018,Caja de 9 kg.,Michoacán,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.78,20.00,18.89,,aguacate criollo_primera
20/07/2018,Caja de 9 kg.,Michoacán,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",18.89,22.22,20.00,,aguacate criollo_primera
23/07/2018,Caja de 9 kg.,Michoacán,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",18.89,22.22,20.00,,aguacate criollo_primera
24/07/2018,Caja de 9 kg.,Michoacán,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",18.89,22.22,20.00,,aguacate criollo_primera
25/07/2018,Caja de 9 kg.,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",20.00,22.22,20.00,,aguacate criollo_primera
26/07/2018,Caja de 9 kg.,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.67,22.22,20.00,,aguacate criollo_primera
27/07/2018,Caja de 9 kg.,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",20.00,22.22,22.22,,aguacate criollo_primera
30/07/2018,Caja de 9 kg.,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",20.00,22.22,20.00,,aguacate criollo_primera
31/07/2018,Caja de 9 kg.,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",22.22,22.22,22.22,,aguacate criollo_primera
01/08/2018,Caja de 9 kg.,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",20.00,22.22,22.22,,aguacate criollo_primera
02/08/2018,Caja de 9 kg.,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",18.89,22.22,22.22,,aguacate criollo_primera
03/08/2018,Caja de 9 kg.,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.67,22.22,22.22,,aguacate criollo_primera
06/08/2018,Caja de 9 kg.,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",22.22,22.22,22.22,,aguacate criollo_primera
07/08/2018,Caja de 9 kg.,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.67,22.22,20.00,,aguacate criollo_primera
08/08/2018,Caja de 9 kg.,Michoacán,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.78,20.00,18.89,,aguacate criollo_primera
09/08/2018,Caja de 9 kg.,Michoacán,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.67,20.00,16.67,,aguacate criollo_primera
10/08/2018,Caja de 9 kg.,Michoacán,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.56,17.78,16.67,,aguacate criollo_primera
13/08/2018,Caja de 9 kg.,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.56,17.78,16.67,,aguacate criollo_primera
