fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
15/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",46.00,48.00,46.00,,aguacate hass adelantado_primera
16/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",46.00,48.00,46.00,,aguacate hass adelantado_primera
17/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",46.00,48.00,48.00,Variedad flor loca.,aguacate hass adelantado_primera
20/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",41.00,42.00,42.00,,aguacate hass adelantado_primera
21/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",41.00,42.00,42.00,,aguacate hass adelantado_primera
22/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",47.00,55.00,55.00,Variedad flor loca.,aguacate hass adelantado_primera
23/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",47.00,55.00,55.00,,aguacate hass adelantado_primera
24/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",42.00,48.00,48.00,,aguacate hass adelantado_primera
27/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",42.00,48.00,46.00,,aguacate hass adelantado_primera
28/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",42.00,48.00,46.00,,aguacate hass adelantado_primera
29/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",40.00,55.00,48.00,"Flor loca, precio según tamaño.",aguacate hass adelantado_primera
30/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",40.00,55.00,48.00,Precio según tamaño.,aguacate hass adelantado_primera
31/08/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",42.00,55.00,55.00,"Variedad flor loca, precio según tamaño.",aguacate hass adelantado_primera
03/09/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",42.00,48.00,45.00,,aguacate hass adelantado_primera
04/09/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",42.00,48.00,45.00,,aguacate hass adelantado_primera
05/09/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",42.00,56.00,48.00,"Variedad flor loca, precio según tamaño.",aguacate hass adelantado_primera
06/09/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",42.00,56.00,48.00,Precio según tamaño.,aguacate hass adelantado_primera
07/09/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",42.00,60.00,56.00,Precio según tamaño.,aguacate hass adelantado_primera
10/09/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",34.00,48.00,40.00,Preciosegún tamaño.,aguacate hass adelantado_primera
11/09/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",34.00,48.00,40.00,Precio según tamaño.,aguacate hass adelantado_primera
12/09/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",32.00,48.00,38.00,"Precio según tamaño, variedad flor loca.",aguacate hass adelantado_primera
13/09/2018,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",32.00,48.00,40.00,Precio según tamaño.,aguacate hass adelantado_primera
23/08/2018,Caja de 9 kg.,Michoacán,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",35.56,44.44,43.33,,aguacate hass adelantado_primera
24/08/2018,Caja de 9 kg.,Michoacán,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",38.89,48.89,44.44,,aguacate hass adelantado_primera
27/08/2018,Caja de 9 kg.,Michoacán,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",41.11,50.00,44.44,,aguacate hass adelantado_primera
