fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,24.00,28.00,28.00,CALIDAD EXTRA,aguacate hass_calidad extra
03/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,24.00,28.00,28.00,CALIDAD EXTRA,aguacate hass_calidad extra
04/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,24.00,28.00,28.00,CALIDAD EXTRA,aguacate hass_calidad extra
05/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,24.00,28.00,28.00,calidad extra,aguacate hass_calidad extra
08/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,24.00,28.00,28.00,CALIDAD EXTRA,aguacate hass_calidad extra
09/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,26.00,36.00,31.00,CALIDAD EXTRA,aguacate hass_calidad extra
10/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,26.00,36.00,31.00,CALIDAD EXTRA,aguacate hass_calidad extra
11/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,26.00,36.00,31.00,CALIDAD EXTRA,aguacate hass_calidad extra
12/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,26.00,36.00,31.00,CALIDAD EXTRA,aguacate hass_calidad extra
15/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,26.00,36.00,31.00,CALIDAD EXTRA,aguacate hass_calidad extra
16/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,25.00,36.00,31.00,CALIDAD EXTRA,aguacate hass_calidad extra
17/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,25.00,36.00,31.00,CALIDAD EXTRA,aguacate hass_calidad extra
18/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,25.00,36.00,31.00,CALIDAD EXTRA,aguacate hass_calidad extra
19/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,25.00,36.00,31.00,CALIDAD EXTRA,aguacate hass_calidad extra
22/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,25.00,36.00,31.00,CALIDAD EXTRA,aguacate hass_calidad extra
23/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,25.00,37.00,30.00,CALIDAD EXTRA,aguacate hass_calidad extra
24/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,25.00,37.00,30.00,CALIDAD EXTRA,aguacate hass_calidad extra
25/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,25.00,37.00,30.00,CALIDAD EXTRA,aguacate hass_calidad extra
26/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,25.00,37.00,30.00,CALIDAD EXTRA,aguacate hass_calidad extra
29/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,25.00,37.00,30.00,CALIDAD EXTRA,aguacate hass_calidad extra
30/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,30.00,32.00,30.00,CALIDAD EXTRA,aguacate hass_calidad extra
31/01/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,30.00,32.00,30.00,CALIDAD EXTRA,aguacate hass_calidad extra
01/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,30.00,32.00,30.00,CALIDAD EXTRA,aguacate hass_calidad extra
02/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,30.00,32.00,30.00,CALIDAD EXTRA,aguacate hass_calidad extra
06/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,30.00,32.00,30.00,CALIDAD EXTRA,aguacate hass_calidad extra
07/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,21.00,32.00,25.00,CALIDAD EXTRA,aguacate hass_calidad extra
08/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,21.00,32.00,25.00,CALIDAD EXTRA,aguacate hass_calidad extra
09/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,21.00,32.00,25.00,CALIDAD EXTRA,aguacate hass_calidad extra
12/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,21.00,32.00,25.00,CALIDAD EXTRA,aguacate hass_calidad extra
13/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,21.00,32.00,25.00,CALIDAD EXTRA,aguacate hass_calidad extra
14/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,22.00,33.00,25.00,CALIDAD EXTRA,aguacate hass_calidad extra
15/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,22.00,33.00,25.00,CALIDAD EXTRA,aguacate hass_calidad extra
16/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,22.00,33.00,25.00,,aguacate hass_calidad extra
19/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,22.00,33.00,25.00,CALIDAD EXTRA,aguacate hass_calidad extra
20/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,28.00,36.00,32.00,,aguacate hass_calidad extra
21/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,28.00,36.00,32.00,,aguacate hass_calidad extra
22/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,28.00,36.00,32.00,CALIDAD EXTRA,aguacate hass_calidad extra
23/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,28.00,36.00,32.00,CALIDAD EXTRA,aguacate hass_calidad extra
26/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,28.00,36.00,32.00,CALIDAD EXTRA,aguacate hass_calidad extra
27/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,21.00,32.00,26.00,,aguacate hass_calidad extra
28/02/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,21.00,32.00,26.00,CALIDAD EXTRA,aguacate hass_calidad extra
01/03/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,21.00,32.00,26.00,CALIDAD EXTRA,aguacate hass_calidad extra
02/03/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,21.00,32.00,26.00,CALIDAD EXTRA,aguacate hass_calidad extra
05/03/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,21.00,32.00,26.00,CALIDAD EXTRA,aguacate hass_calidad extra
06/03/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,21.00,32.00,26.00,,aguacate hass_calidad extra
07/03/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,24.00,34.00,26.00,CALIDAD EXTRA,aguacate hass_calidad extra
08/03/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,24.00,34.00,26.00,CALIDAD EXTRA,aguacate hass_calidad extra
09/03/2018,Caja de 10 kg.,Michoacán,Chihuahua: Central de Abasto de Chihuahua,24.00,34.00,26.00,CALIDAD EXTRA,aguacate hass_calidad extra
