fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",20.00,20.77,20.00,,aguacate pagua_primera
03/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",20.00,20.77,20.00,,aguacate pagua_primera
04/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",20.00,20.77,20.00,,aguacate pagua_primera
05/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",20.00,20.77,20.00,,aguacate pagua_primera
08/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",20.00,20.77,20.00,,aguacate pagua_primera
09/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",23.08,26.15,26.15,,aguacate pagua_primera
10/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",23.08,26.15,26.15,,aguacate pagua_primera
11/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",23.08,26.15,26.15,,aguacate pagua_primera
12/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",23.08,26.15,26.15,,aguacate pagua_primera
15/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",23.08,26.15,26.15,,aguacate pagua_primera
16/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",23.08,26.15,26.15,,aguacate pagua_primera
17/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",23.08,26.15,26.15,,aguacate pagua_primera
18/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",23.08,26.15,26.15,,aguacate pagua_primera
19/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
22/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
23/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
24/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
25/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
26/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
29/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
30/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
31/01/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
01/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
02/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
06/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
07/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
08/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
09/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
12/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
13/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
14/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
15/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",27.69,30.77,30.77,,aguacate pagua_primera
16/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",30.77,32.31,32.31,,aguacate pagua_primera
19/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",30.77,32.31,32.31,,aguacate pagua_primera
20/02/2018,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",30.77,32.31,32.31,,aguacate pagua_primera
