fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Kilogramo,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,39.50,40.50,40.00,CHINO,cacahuate_primera
02/01/2018,Kilogramo,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.50,25.50,25.00,,cacahuate_primera
02/01/2018,Kilogramo,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.50,28.00,,cacahuate_primera
03/01/2018,Kilogramo,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,39.50,40.50,40.00,CHINO,cacahuate_primera
03/01/2018,Kilogramo,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.50,25.50,25.00,,cacahuate_primera
03/01/2018,Kilogramo,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.50,28.00,,cacahuate_primera
04/01/2018,Kilogramo,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,39.50,40.50,40.00,CHINO,cacahuate_primera
04/01/2018,Kilogramo,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.50,25.50,25.00,,cacahuate_primera
04/01/2018,Kilogramo,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.50,28.00,,cacahuate_primera
05/01/2018,Kilogramo,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,39.50,40.50,40.00,,cacahuate_primera
05/01/2018,Kilogramo,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.50,25.50,25.00,,cacahuate_primera
05/01/2018,Kilogramo,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.50,28.00,,cacahuate_primera
08/01/2018,Kilogramo,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,39.50,40.50,40.00,CHINO,cacahuate_primera
08/01/2018,Kilogramo,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.50,25.50,25.00,,cacahuate_primera
08/01/2018,Kilogramo,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.50,28.00,,cacahuate_primera
09/01/2018,Kilogramo,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,39.50,40.50,40.00,CHINO,cacahuate_primera
09/01/2018,Kilogramo,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.50,25.50,25.00,,cacahuate_primera
09/01/2018,Kilogramo,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.50,28.00,,cacahuate_primera
10/01/2018,Kilogramo,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,39.50,40.50,40.00,CHINO,cacahuate_primera
10/01/2018,Kilogramo,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.50,25.50,25.00,,cacahuate_primera
10/01/2018,Kilogramo,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.50,28.00,,cacahuate_primera
11/01/2018,Kilogramo,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,39.50,40.50,40.00,CHINO,cacahuate_primera
11/01/2018,Kilogramo,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.50,25.50,25.00,,cacahuate_primera
11/01/2018,Kilogramo,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.50,28.00,,cacahuate_primera
12/01/2018,Kilogramo,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,39.50,40.50,40.00,CHINO,cacahuate_primera
12/01/2018,Kilogramo,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.50,25.50,25.00,,cacahuate_primera
12/01/2018,Kilogramo,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.50,28.00,,cacahuate_primera
15/01/2018,Kilogramo,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,39.50,40.50,40.00,CHINIO,cacahuate_primera
15/01/2018,Kilogramo,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.50,25.50,25.00,,cacahuate_primera
15/01/2018,Kilogramo,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.50,28.00,,cacahuate_primera
16/01/2018,Kilogramo,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,39.50,40.50,40.00,CHINO,cacahuate_primera
16/01/2018,Kilogramo,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.50,25.50,25.00,,cacahuate_primera
16/01/2018,Kilogramo,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.50,28.00,,cacahuate_primera
17/01/2018,Kilogramo,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,39.50,40.50,40.00,,cacahuate_primera
