fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
03/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
04/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
05/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
08/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
09/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
10/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
11/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
12/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
15/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
16/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
17/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
18/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
19/01/2018,Rollo de 20 pzas.,Nayarit,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
23/10/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
24/10/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
25/10/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
26/10/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
29/10/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
30/10/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
31/10/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
01/11/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
05/11/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
06/11/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
07/11/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
08/11/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
09/11/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
12/11/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
13/11/2018,Rollo de 20 pzas.,México,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.25,6.75,6.50,,caña_primera
