fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Kilogramo,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.50,8.50,8.00,,cebolla bola_primera
02/01/2018,Kilogramo,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.50,10.50,10.00,,cebolla bola_primera
03/01/2018,Kilogramo,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.50,8.50,8.00,,cebolla bola_primera
03/01/2018,Kilogramo,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.50,10.50,10.00,,cebolla bola_primera
04/01/2018,Kilogramo,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.50,8.50,8.00,,cebolla bola_primera
04/01/2018,Kilogramo,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.50,10.50,10.00,,cebolla bola_primera
05/01/2018,Kilogramo,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.50,8.50,8.00,,cebolla bola_primera
05/01/2018,Kilogramo,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.50,10.50,10.00,,cebolla bola_primera
08/01/2018,Kilogramo,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.50,8.50,8.00,,cebolla bola_primera
08/01/2018,Kilogramo,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.50,10.50,10.00,,cebolla bola_primera
09/01/2018,Kilogramo,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.00,9.00,8.50,,cebolla bola_primera
09/01/2018,Kilogramo,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.00,11.00,10.50,,cebolla bola_primera
10/01/2018,Kilogramo,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.00,9.00,8.50,,cebolla bola_primera
10/01/2018,Kilogramo,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.00,11.00,10.50,,cebolla bola_primera
11/01/2018,Kilogramo,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.00,9.00,8.50,,cebolla bola_primera
11/01/2018,Kilogramo,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.00,11.00,10.50,,cebolla bola_primera
12/01/2018,Kilogramo,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.00,6.00,5.50,,cebolla bola_primera
