fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.29,7.71,7.50,,chayote_primera
03/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.29,7.71,7.50,,chayote_primera
04/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.29,7.71,7.50,,chayote_primera
05/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.29,7.71,7.50,,chayote_primera
08/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.29,7.71,7.50,,chayote_primera
09/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.21,10.63,10.42,,chayote_primera
10/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.21,10.63,10.42,,chayote_primera
11/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.21,10.63,10.42,,chayote_primera
12/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.79,10.21,10.00,,chayote_primera
15/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.79,10.21,10.00,,chayote_primera
16/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.79,10.21,10.00,,chayote_primera
17/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.79,10.21,10.00,,chayote_primera
18/01/2018,Caja de 24 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.79,10.21,10.00,,chayote_primera
