fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",9.44,11.11,11.11,,chayote sin espinas_primera
03/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",9.44,11.11,11.11,,chayote sin espinas_primera
04/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",9.44,11.11,11.11,,chayote sin espinas_primera
05/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",9.44,11.11,11.11,,chayote sin espinas_primera
08/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",9.44,11.11,11.11,,chayote sin espinas_primera
09/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",9.44,11.11,11.11,,chayote sin espinas_primera
10/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",9.44,11.11,11.11,,chayote sin espinas_primera
11/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",9.44,11.11,11.11,,chayote sin espinas_primera
12/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",10.83,12.78,12.78,,chayote sin espinas_primera
15/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",10.83,12.78,12.78,,chayote sin espinas_primera
16/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",10.83,12.78,12.78,,chayote sin espinas_primera
17/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",10.83,12.78,12.78,,chayote sin espinas_primera
18/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",10.83,12.78,12.78,,chayote sin espinas_primera
19/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",10.83,12.78,12.78,,chayote sin espinas_primera
22/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",10.83,12.78,12.78,,chayote sin espinas_primera
23/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",11.11,11.94,11.94,,chayote sin espinas_primera
24/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",11.11,11.94,11.94,,chayote sin espinas_primera
25/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",11.11,11.94,11.94,,chayote sin espinas_primera
26/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",11.11,11.94,11.94,,chayote sin espinas_primera
29/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",11.11,11.94,11.94,,chayote sin espinas_primera
30/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",11.11,11.94,11.94,,chayote sin espinas_primera
31/01/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",11.11,11.94,11.94,,chayote sin espinas_primera
01/02/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",12.78,13.89,13.89,,chayote sin espinas_primera
02/02/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",12.78,13.89,13.89,,chayote sin espinas_primera
06/02/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",12.78,13.89,13.89,,chayote sin espinas_primera
07/02/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",12.78,13.89,13.89,,chayote sin espinas_primera
08/02/2018,Caja de 18 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",12.78,13.89,13.89,,chayote sin espinas_primera
