fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
03/01/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
05/01/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
09/01/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
12/01/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
16/01/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
19/01/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
23/01/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
26/01/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
30/01/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
02/02/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
06/02/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
09/02/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
16/02/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
19/02/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
20/02/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
23/02/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
27/02/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
28/02/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
06/03/2018,Kilogramo,Quintana Roo,"Quintana Roo: Mercado de Chetumal, Quintana Roo",50.00,50.00,50.00,,chile cat_primera
