fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
20/05/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
21/05/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
24/05/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
25/05/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
26/05/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
27/05/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
28/05/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
31/05/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
01/06/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
02/06/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
03/06/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
04/06/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
07/06/2021,Caja de 16 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.50,13.13,12.50,,ciruela amarilla_primera
