fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",45.00,45.00,45.00,,ciruela claudia_primera
03/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",45.00,45.00,45.00,,ciruela claudia_primera
04/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",45.00,45.00,45.00,,ciruela claudia_primera
05/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",45.00,45.00,45.00,,ciruela claudia_primera
08/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",45.00,45.00,45.00,,ciruela claudia_primera
09/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",45.00,45.00,45.00,,ciruela claudia_primera
10/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",45.00,45.00,45.00,,ciruela claudia_primera
11/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",39.00,39.00,39.00,,ciruela claudia_primera
12/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",39.00,39.00,39.00,,ciruela claudia_primera
15/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",39.00,39.00,39.00,,ciruela claudia_primera
16/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",39.00,39.00,39.00,,ciruela claudia_primera
17/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",39.00,39.00,39.00,,ciruela claudia_primera
18/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",39.00,39.00,39.00,,ciruela claudia_primera
19/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",39.00,39.00,39.00,,ciruela claudia_primera
22/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",39.00,39.00,39.00,,ciruela claudia_primera
23/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",39.00,39.00,39.00,,ciruela claudia_primera
