fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
11/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,15.00,19.17,16.67,,ciruela huesuda roja_primera
12/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,15.00,19.17,16.67,,ciruela huesuda roja_primera
13/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,15.00,19.17,16.67,,ciruela huesuda roja_primera
14/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,15.00,19.17,16.67,,ciruela huesuda roja_primera
17/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,14.17,16.67,15.83,,ciruela huesuda roja_primera
18/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,14.17,16.67,15.83,,ciruela huesuda roja_primera
19/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,13.33,16.67,15.00,,ciruela huesuda roja_primera
20/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,13.33,16.67,15.00,,ciruela huesuda roja_primera
21/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,12.50,15.83,14.17,,ciruela huesuda roja_primera
24/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,10.00,13.33,12.50,,ciruela huesuda roja_primera
25/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,10.83,12.50,11.67,,ciruela huesuda roja_primera
26/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,10.83,13.33,11.67,,ciruela huesuda roja_primera
27/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,10.00,13.33,10.83,,ciruela huesuda roja_primera
28/09/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,10.00,13.33,10.83,,ciruela huesuda roja_primera
01/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,10.00,11.67,10.83,,ciruela huesuda roja_primera
02/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
03/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
04/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
05/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
08/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,7.50,10.00,8.33,,ciruela huesuda roja_primera
09/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,7.50,9.17,8.33,,ciruela huesuda roja_primera
10/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,7.50,9.17,8.33,,ciruela huesuda roja_primera
11/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,7.50,9.17,8.33,,ciruela huesuda roja_primera
12/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,7.50,9.17,8.33,,ciruela huesuda roja_primera
15/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,8.33,10.00,9.17,,ciruela huesuda roja_primera
16/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,8.33,11.67,10.00,,ciruela huesuda roja_primera
17/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,12.50,10.00,,ciruela huesuda roja_primera
18/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,12.50,10.00,,ciruela huesuda roja_primera
19/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,12.50,10.00,,ciruela huesuda roja_primera
22/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,13.33,10.83,,ciruela huesuda roja_primera
23/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,12.50,10.83,,ciruela huesuda roja_primera
24/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,12.50,10.83,,ciruela huesuda roja_primera
25/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
26/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
29/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,11.67,10.00,,ciruela huesuda roja_primera
30/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
31/10/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
05/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
06/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,8.33,10.83,10.00,,ciruela huesuda roja_primera
07/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
08/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
09/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
12/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,8.33,10.00,9.17,,ciruela huesuda roja_primera
13/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,8.33,10.83,9.17,,ciruela huesuda roja_primera
14/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,8.33,10.83,9.17,,ciruela huesuda roja_primera
15/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
16/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
20/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,10.00,12.50,10.83,,ciruela huesuda roja_primera
21/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,10.00,12.50,10.83,,ciruela huesuda roja_primera
22/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,10.00,12.50,10.83,,ciruela huesuda roja_primera
23/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,10.00,12.50,10.83,,ciruela huesuda roja_primera
26/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
27/11/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,9.17,10.83,10.00,,ciruela huesuda roja_primera
