fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
13/03/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,13.33,18.33,15.00,,ciruela moscatel_primera
14/03/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,12.50,16.67,15.00,,ciruela moscatel_primera
15/03/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,12.50,16.67,15.00,,ciruela moscatel_primera
16/03/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,12.50,15.83,15.00,,ciruela moscatel_primera
20/03/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,15.00,21.67,16.67,,ciruela moscatel_primera
21/03/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,15.00,21.67,16.67,,ciruela moscatel_primera
22/03/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,15.83,22.50,16.67,,ciruela moscatel_primera
23/03/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,15.83,22.50,16.67,,ciruela moscatel_primera
26/03/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,16.67,21.67,18.33,,ciruela moscatel_primera
27/03/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,15.83,21.67,18.33,,ciruela moscatel_primera
28/03/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,15.83,21.67,18.33,,ciruela moscatel_primera
02/04/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,13.33,20.00,18.33,,ciruela moscatel_primera
03/04/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,13.33,19.17,16.67,,ciruela moscatel_primera
04/04/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,13.33,19.17,16.67,,ciruela moscatel_primera
05/04/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,15.00,18.33,16.67,,ciruela moscatel_primera
06/04/2018,Caja de 12 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,15.00,18.33,16.67,,ciruela moscatel_primera
