fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",75.00,81.25,75.00,Origen U.S.A.,durazno melocotón_primera
03/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",75.00,81.25,75.00,Origen U.S.A.,durazno melocotón_primera
04/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",68.75,75.00,68.75,Origen U.S.A.,durazno melocotón_primera
05/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",80.00,81.25,81.25,Origen Chile.,durazno melocotón_primera
08/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",80.00,81.25,81.25,Origen U.S.A.,durazno melocotón_primera
09/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",80.00,81.25,80.00,Origen U.S.A.,durazno melocotón_primera
10/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",80.00,81.25,80.00,Origen U.S.A.,durazno melocotón_primera
11/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",80.00,80.00,80.00,Origen U.S.A.,durazno melocotón_primera
12/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",68.75,77.50,72.50,Origen U.S.A.,durazno melocotón_primera
15/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",72.50,75.00,75.00,Origen U.S.A.,durazno melocotón_primera
16/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",72.50,75.00,73.75,Origen U.S.A.,durazno melocotón_primera
17/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",71.88,73.75,73.13,Origen U.S.A.,durazno melocotón_primera
18/01/2018,Caja de 8 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",68.75,70.63,69.38,Origen U.S.A.,durazno melocotón_primera
