fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,13.00,16.00,15.00,,ejote redondo_primera
03/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,16.00,20.00,18.00,,ejote redondo_primera
04/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,16.00,20.00,18.00,,ejote redondo_primera
05/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,16.00,20.00,18.00,,ejote redondo_primera
08/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,16.00,22.00,18.00,,ejote redondo_primera
09/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,16.00,22.00,18.00,,ejote redondo_primera
10/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,17.00,24.00,21.00,,ejote redondo_primera
11/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,16.00,20.00,18.00,,ejote redondo_primera
12/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,16.00,20.00,18.00,,ejote redondo_primera
15/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,15.00,20.00,17.00,,ejote redondo_primera
16/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,14.00,20.00,18.00,,ejote redondo_primera
17/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,14.00,20.00,17.00,,ejote redondo_primera
18/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,14.00,20.00,16.00,,ejote redondo_primera
19/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,14.00,20.00,16.00,,ejote redondo_primera
22/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,12.00,19.00,15.00,,ejote redondo_primera
23/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,12.00,19.00,15.00,,ejote redondo_primera
24/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,12.00,19.00,15.00,,ejote redondo_primera
25/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,6.00,12.00,8.00,,ejote redondo_primera
26/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,13.00,10.00,,ejote redondo_primera
29/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,16.00,22.00,18.00,,ejote redondo_primera
30/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,16.00,22.00,18.00,,ejote redondo_primera
31/01/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,12.00,10.00,,ejote redondo_primera
01/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,12.00,10.00,,ejote redondo_primera
02/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,5.00,10.00,8.00,,ejote redondo_primera
06/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,13.00,10.00,,ejote redondo_primera
07/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,10.00,15.00,13.00,,ejote redondo_primera
08/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,10.00,15.00,13.00,,ejote redondo_primera
09/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,7.00,11.00,8.00,,ejote redondo_primera
12/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,6.00,10.00,8.00,,ejote redondo_primera
13/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,6.00,11.00,8.00,,ejote redondo_primera
14/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,6.00,11.00,8.00,,ejote redondo_primera
15/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,6.00,11.00,8.00,,ejote redondo_primera
16/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,6.00,11.00,8.00,,ejote redondo_primera
19/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,7.00,12.00,9.00,,ejote redondo_primera
20/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,7.00,12.00,9.00,,ejote redondo_primera
21/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,6.00,10.00,8.00,,ejote redondo_primera
22/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,6.00,10.00,8.00,,ejote redondo_primera
23/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,6.00,10.00,8.00,,ejote redondo_primera
26/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,6.00,10.00,8.00,,ejote redondo_primera
27/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,14.00,11.00,,ejote redondo_primera
28/02/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,14.00,11.00,,ejote redondo_primera
01/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,14.00,11.00,,ejote redondo_primera
02/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,14.00,10.00,,ejote redondo_primera
05/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,7.00,13.00,10.00,,ejote redondo_primera
06/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,7.00,13.00,10.00,,ejote redondo_primera
07/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,12.00,10.00,,ejote redondo_primera
08/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,12.00,10.00,,ejote redondo_primera
09/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,12.00,10.00,,ejote redondo_primera
12/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,7.00,11.00,9.00,,ejote redondo_primera
13/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,7.00,11.00,9.00,,ejote redondo_primera
14/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,7.00,11.00,9.00,,ejote redondo_primera
15/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,7.00,11.00,9.00,,ejote redondo_primera
16/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,7.00,11.00,9.00,,ejote redondo_primera
20/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,12.00,9.00,,ejote redondo_primera
21/03/2018,Costal de 70 kg.,Hidalgo,DF: Central de Abasto de Iztapalapa DF,8.00,12.00,9.00,,ejote redondo_primera
