fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",200.00,220.00,200.00,,espárrago_primera
03/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",200.00,220.00,200.00,,espárrago_primera
04/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",200.00,220.00,200.00,,espárrago_primera
05/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",150.00,200.00,150.00,,espárrago_primera
08/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",150.00,170.00,150.00,,espárrago_primera
09/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",150.00,160.00,160.00,,espárrago_primera
10/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",150.00,160.00,160.00,,espárrago_primera
11/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",150.00,160.00,160.00,,espárrago_primera
12/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",150.00,160.00,150.00,,espárrago_primera
15/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",150.00,160.00,150.00,,espárrago_primera
16/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",150.00,160.00,160.00,,espárrago_primera
17/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",150.00,160.00,160.00,,espárrago_primera
18/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",160.00,180.00,160.00,,espárrago_primera
19/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",160.00,180.00,180.00,,espárrago_primera
22/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",170.00,180.00,180.00,,espárrago_primera
23/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",170.00,180.00,170.00,,espárrago_primera
24/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",170.00,180.00,180.00,,espárrago_primera
25/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",170.00,180.00,180.00,,espárrago_primera
26/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",170.00,180.00,180.00,,espárrago_primera
29/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",170.00,180.00,180.00,,espárrago_primera
30/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",170.00,180.00,170.00,,espárrago_primera
31/01/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",170.00,180.00,170.00,,espárrago_primera
01/02/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",160.00,180.00,170.00,,espárrago_primera
02/02/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",170.00,180.00,180.00,,espárrago_primera
06/02/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",170.00,180.00,180.00,,espárrago_primera
07/02/2018,Kilogramo,Importación,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",170.00,180.00,180.00,,espárrago_primera
