fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
03/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
04/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
05/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.08,12.92,12.50,,guayaba_primera
08/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.08,12.92,12.50,,guayaba_primera
09/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.92,13.75,13.33,,guayaba_primera
10/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.92,13.75,13.33,,guayaba_primera
11/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.92,13.75,13.33,,guayaba_primera
12/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.58,10.42,10.00,,guayaba_primera
15/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.58,10.42,10.00,,guayaba_primera
16/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.58,10.42,10.00,,guayaba_primera
17/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.58,10.42,10.00,,guayaba_primera
18/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.58,10.42,10.00,,guayaba_primera
19/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.58,10.42,10.00,,guayaba_primera
22/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.58,10.42,10.00,,guayaba_primera
23/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.58,10.42,10.00,,guayaba_primera
24/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.58,10.42,10.00,,guayaba_primera
25/01/2018,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.58,10.42,10.00,,guayaba_primera
26/01/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
29/01/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
30/01/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
31/01/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
01/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
02/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
06/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
07/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.75,9.58,9.17,,guayaba_primera
08/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.75,9.58,9.17,,guayaba_primera
09/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.75,9.58,9.17,,guayaba_primera
12/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.75,9.58,9.17,,guayaba_primera
13/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.75,9.58,9.17,,guayaba_primera
14/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
15/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
16/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
19/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
20/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
21/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
22/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
23/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
26/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
27/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
28/02/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
01/03/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.17,10.00,9.58,,guayaba_primera
02/03/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
05/03/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
06/03/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
07/03/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
08/03/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
09/03/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
12/03/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
13/03/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
14/03/2018,Caja de 12 kg.,Michoacán,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.92,8.75,8.33,,guayaba_primera
