fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
01/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
04/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
05/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
06/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
07/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
08/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
11/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
12/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
13/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
14/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
15/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
18/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
19/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
20/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
21/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
22/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
25/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
26/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
27/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
28/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
29/06/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
02/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
03/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,9.00,9.00,9.00,,jícama mediana_primera
04/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,11.00,11.00,11.00,,jícama mediana_primera
05/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,11.00,11.00,11.00,,jícama mediana_primera
06/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,11.00,11.00,11.00,,jícama mediana_primera
09/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,11.00,11.00,11.00,,jícama mediana_primera
10/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,11.00,11.00,11.00,,jícama mediana_primera
11/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,18.00,18.00,18.00,,jícama mediana_primera
12/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,18.00,18.00,18.00,,jícama mediana_primera
13/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,18.00,18.00,18.00,,jícama mediana_primera
16/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,15.00,15.00,15.00,,jícama mediana_primera
17/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,15.00,15.00,15.00,,jícama mediana_primera
18/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,15.00,15.00,15.00,,jícama mediana_primera
19/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,15.00,15.00,15.00,,jícama mediana_primera
20/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,15.00,15.00,15.00,,jícama mediana_primera
23/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,14.00,14.00,14.00,,jícama mediana_primera
24/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,14.00,14.00,14.00,,jícama mediana_primera
25/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,14.00,14.00,14.00,,jícama mediana_primera
26/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,13.00,13.00,13.00,,jícama mediana_primera
27/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,13.00,13.00,13.00,,jícama mediana_primera
30/07/2018,Kilogramo,Jalisco,Sinaloa: Central de Abasto de Culiacán,12.00,12.00,12.00,,jícama mediana_primera
