fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Arpilla de 20 kg.,Morelos,DF: Central de Abasto de Iztapalapa DF,7.00,8.00,7.50,,jícama piñatera_primera
03/01/2018,Arpilla de 20 kg.,Morelos,DF: Central de Abasto de Iztapalapa DF,6.00,7.50,7.00,,jícama piñatera_primera
04/01/2018,Arpilla de 20 kg.,Morelos,DF: Central de Abasto de Iztapalapa DF,6.50,7.50,7.00,,jícama piñatera_primera
05/01/2018,Arpilla de 20 kg.,Morelos,DF: Central de Abasto de Iztapalapa DF,6.50,7.50,7.00,,jícama piñatera_primera
02/01/2018,Costal de 90 kg.,Puebla,México: Central de Abasto de Toluca,6.11,6.67,6.11,,jícama piñatera_primera
03/01/2018,Costal de 90 kg.,Puebla,México: Central de Abasto de Toluca,6.11,6.67,6.11,,jícama piñatera_primera
19/12/2018,Costal de 90 kg.,Puebla,México: Central de Abasto de Toluca,7.78,8.33,8.00,,jícama piñatera_primera
20/12/2018,Costal de 90 kg.,Puebla,México: Central de Abasto de Toluca,7.78,8.33,8.33,,jícama piñatera_primera
21/12/2018,Costal de 90 kg.,Puebla,México: Central de Abasto de Toluca,7.22,7.56,7.56,,jícama piñatera_primera
24/12/2018,Costal de 90 kg.,Puebla,México: Central de Abasto de Toluca,7.22,7.56,7.56,,jícama piñatera_primera
26/12/2018,Costal de 90 kg.,Puebla,México: Central de Abasto de Toluca,6.11,6.44,6.11,,jícama piñatera_primera
27/12/2018,Costal de 90 kg.,Puebla,México: Central de Abasto de Toluca,6.11,6.22,6.22,,jícama piñatera_primera
28/12/2018,Costal de 90 kg.,Puebla,México: Central de Abasto de Toluca,7.00,7.22,7.22,,jícama piñatera_primera
31/12/2018,Costal de 90 kg.,Puebla,México: Central de Abasto de Toluca,6.44,6.67,6.67,,jícama piñatera_primera
16/12/2019,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.00,8.00,7.50,,jícama piñatera_primera
17/12/2019,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.00,8.00,7.50,,jícama piñatera_primera
18/12/2019,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.00,8.00,7.50,,jícama piñatera_primera
19/12/2019,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.00,8.00,7.50,,jícama piñatera_primera
20/12/2019,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.00,9.00,8.00,,jícama piñatera_primera
23/12/2019,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.50,9.00,8.00,,jícama piñatera_primera
24/12/2019,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.50,9.00,8.00,,jícama piñatera_primera
26/12/2019,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.00,9.00,8.00,,jícama piñatera_primera
27/12/2019,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.00,9.00,8.00,,jícama piñatera_primera
30/12/2019,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.00,8.50,8.00,,jícama piñatera_primera
31/12/2019,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.00,9.00,8.00,,jícama piñatera_primera
02/01/2019,Costal de 90 kg.,Puebla,México: Central de Abasto de Toluca,4.44,5.00,5.00,,jícama piñatera_primera
17/12/2019,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,7.33,8.00,7.33,,jícama piñatera_primera
18/12/2019,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,7.67,8.00,7.67,,jícama piñatera_primera
19/12/2019,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,8.00,10.00,9.33,,jícama piñatera_primera
20/12/2019,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,9.33,10.67,10.67,,jícama piñatera_primera
23/12/2019,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,8.00,10.00,9.33,,jícama piñatera_primera
24/12/2019,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,9.33,10.00,10.00,,jícama piñatera_primera
26/12/2019,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,9.33,10.00,10.00,,jícama piñatera_primera
27/12/2019,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,8.00,10.00,9.33,,jícama piñatera_primera
30/12/2019,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,9.60,10.00,9.60,,jícama piñatera_primera
31/12/2019,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,9.60,10.00,10.00,,jícama piñatera_primera
20/12/2019,Arpilla de 20 kg.,Morelos,Morelos: Central de Abasto de Cuautla,7.00,7.50,7.50,,jícama piñatera_primera
23/12/2019,Arpilla de 20 kg.,Morelos,Morelos: Central de Abasto de Cuautla,7.00,7.50,7.50,,jícama piñatera_primera
24/12/2019,Arpilla de 20 kg.,Morelos,Morelos: Central de Abasto de Cuautla,7.00,7.50,7.50,,jícama piñatera_primera
26/12/2019,Arpilla de 20 kg.,Morelos,Morelos: Central de Abasto de Cuautla,7.00,7.50,7.50,,jícama piñatera_primera
27/12/2019,Arpilla de 20 kg.,Morelos,Morelos: Central de Abasto de Cuautla,7.00,7.50,7.50,,jícama piñatera_primera
30/12/2019,Arpilla de 20 kg.,Morelos,Morelos: Central de Abasto de Cuautla,7.00,7.50,7.50,,jícama piñatera_primera
02/01/2020,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.00,8.00,7.50,,jícama piñatera_primera
03/01/2020,Kilogramo,Morelos,DF: Central de Abasto de Iztapalapa DF,7.00,8.00,7.50,,jícama piñatera_primera
02/01/2020,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,9.60,10.67,10.67,,jícama piñatera_primera
03/01/2020,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,9.60,10.67,10.67,,jícama piñatera_primera
06/01/2020,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,8.00,8.67,8.00,,jícama piñatera_primera
07/01/2020,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,8.00,8.67,8.00,,jícama piñatera_primera
08/01/2020,Arpilla de 15 kg.,Puebla,México: Central de Abasto de Toluca,8.00,8.67,8.00,,jícama piñatera_primera
02/01/2020,Arpilla de 20 kg.,Morelos,Morelos: Central de Abasto de Cuautla,7.00,7.50,7.50,,jícama piñatera_primera
03/01/2020,Arpilla de 20 kg.,Morelos,Morelos: Central de Abasto de Cuautla,7.00,7.50,7.50,,jícama piñatera_primera
06/01/2020,Arpilla de 20 kg.,Morelos,Morelos: Central de Abasto de Cuautla,7.00,7.50,7.50,,jícama piñatera_primera
07/01/2020,Arpilla de 20 kg.,Morelos,Morelos: Central de Abasto de Cuautla,7.00,7.50,7.50,,jícama piñatera_primera
01/10/2021,Arpilla de 50 kg.,Guanajuato,México: Central de Abasto de Toluca,5.00,5.40,5.00,,jícama piñatera_primera
