fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
13/03/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",11.25,11.25,11.25,,lechuga orejona grande_primera
14/03/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",11.25,11.25,11.25,,lechuga orejona grande_primera
15/03/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",11.25,11.25,11.25,,lechuga orejona grande_primera
16/03/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",11.25,11.25,11.25,,lechuga orejona grande_primera
20/03/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",11.25,11.25,11.25,,lechuga orejona grande_primera
21/03/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",11.25,11.25,11.25,,lechuga orejona grande_primera
22/03/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",11.25,11.25,11.25,,lechuga orejona grande_primera
23/03/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",11.25,11.25,11.25,,lechuga orejona grande_primera
26/03/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",11.25,11.25,11.25,,lechuga orejona grande_primera
27/03/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.83,10.83,10.83,,lechuga orejona grande_primera
28/03/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.83,10.83,10.83,,lechuga orejona grande_primera
02/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.83,10.83,10.83,,lechuga orejona grande_primera
03/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.83,10.83,10.83,,lechuga orejona grande_primera
04/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.83,10.83,10.83,,lechuga orejona grande_primera
05/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.83,10.83,10.83,,lechuga orejona grande_primera
06/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.83,10.83,10.83,,lechuga orejona grande_primera
09/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.83,10.83,10.83,,lechuga orejona grande_primera
10/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.83,10.83,10.83,,lechuga orejona grande_primera
11/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.83,10.83,10.83,,lechuga orejona grande_primera
12/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.83,10.83,10.83,,lechuga orejona grande_primera
13/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.83,10.83,10.83,,lechuga orejona grande_primera
16/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
17/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
18/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
19/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
20/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
23/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
24/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
25/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
26/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
27/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
30/04/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
02/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
03/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
04/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
07/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",10.42,10.42,10.42,,lechuga orejona grande_primera
08/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",8.75,8.75,8.75,,lechuga orejona grande_primera
09/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",8.75,8.75,8.75,,lechuga orejona grande_primera
10/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",8.75,8.75,8.75,,lechuga orejona grande_primera
11/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",8.75,8.75,8.75,,lechuga orejona grande_primera
14/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",8.75,8.75,8.75,,lechuga orejona grande_primera
15/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",8.75,8.75,8.75,,lechuga orejona grande_primera
16/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",8.75,8.75,8.75,,lechuga orejona grande_primera
17/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",8.75,8.75,8.75,,lechuga orejona grande_primera
18/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",8.75,8.75,8.75,,lechuga orejona grande_primera
21/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",8.75,8.75,8.75,,lechuga orejona grande_primera
22/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",8.75,8.75,8.75,,lechuga orejona grande_primera
23/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
24/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
25/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
28/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
29/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
30/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
31/05/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
01/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
04/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.58,9.58,9.58,,lechuga orejona grande_primera
05/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.58,9.58,9.58,,lechuga orejona grande_primera
06/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.58,9.58,9.58,,lechuga orejona grande_primera
07/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.58,9.58,9.58,,lechuga orejona grande_primera
08/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.58,9.58,9.58,,lechuga orejona grande_primera
11/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
12/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
13/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
14/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
15/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
18/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
19/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
20/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
21/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
22/06/2018,Caja de 24 pzas.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",9.17,9.17,9.17,,lechuga orejona grande_primera
