fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",15.79,15.79,15.79,,limón c/semilla # 3_primera
03/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",15.79,15.79,15.79,,limón c/semilla # 3_primera
04/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",15.79,15.79,15.79,,limón c/semilla # 3_primera
05/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",15.79,15.79,15.79,,limón c/semilla # 3_primera
08/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",15.79,15.79,15.79,,limón c/semilla # 3_primera
09/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",15.79,15.79,15.79,,limón c/semilla # 3_primera
10/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",15.79,15.79,15.79,,limón c/semilla # 3_primera
11/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",15.79,15.79,15.79,,limón c/semilla # 3_primera
12/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.21,14.21,14.21,,limón c/semilla # 3_primera
15/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.21,14.21,14.21,,limón c/semilla # 3_primera
16/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.21,14.21,14.21,,limón c/semilla # 3_primera
17/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.21,14.21,14.21,,limón c/semilla # 3_primera
18/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.21,14.21,14.21,,limón c/semilla # 3_primera
19/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.21,14.21,14.21,,limón c/semilla # 3_primera
22/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.21,14.21,14.21,,limón c/semilla # 3_primera
23/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.74,14.74,14.74,,limón c/semilla # 3_primera
24/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.74,14.74,14.74,,limón c/semilla # 3_primera
25/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.74,14.74,14.74,,limón c/semilla # 3_primera
26/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.74,14.74,14.74,,limón c/semilla # 3_primera
29/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.74,14.74,14.74,,limón c/semilla # 3_primera
30/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.74,14.74,14.74,,limón c/semilla # 3_primera
31/01/2018,Arpilla de 19 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",14.74,14.74,14.74,,limón c/semilla # 3_primera
