fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
11/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.67,1.67,,limón s/semilla_primera
12/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.67,1.67,,limón s/semilla_primera
13/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.67,1.67,,limón s/semilla_primera
14/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.67,1.67,,limón s/semilla_primera
15/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.67,1.67,,limón s/semilla_primera
18/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.67,1.67,,limón s/semilla_primera
19/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.67,1.67,,limón s/semilla_primera
20/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.67,1.67,,limón s/semilla_primera
21/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.67,1.67,,limón s/semilla_primera
22/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.00,1.67,,limón s/semilla_primera
25/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.00,1.67,,limón s/semilla_primera
26/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.00,1.67,,limón s/semilla_primera
27/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.00,1.67,,limón s/semilla_primera
28/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.00,1.67,,limón s/semilla_primera
29/06/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.00,1.67,,limón s/semilla_primera
02/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.00,1.67,,limón s/semilla_primera
03/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.00,1.67,,limón s/semilla_primera
04/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.00,1.67,,limón s/semilla_primera
05/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,2.00,1.67,,limón s/semilla_primera
06/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
09/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
10/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
11/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
12/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
13/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
16/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
17/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
18/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
19/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
20/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
23/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
24/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
25/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
26/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",2.00,2.00,2.00,,limón s/semilla_primera
27/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
30/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
31/07/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
01/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
02/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
03/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
06/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
07/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
08/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
09/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
10/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
13/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
14/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
15/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
16/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
17/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
20/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
21/08/2018,Caja de 30 kg.,Campeche,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",1.67,1.67,1.67,,limón s/semilla_primera
