fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
08/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.50,6.00,5.80,,mandarina reyna_primera
09/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,mandarina reyna_primera
10/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,mandarina reyna_primera
11/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,mandarina reyna_primera
12/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.80,7.00,6.50,,mandarina reyna_primera
15/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,mandarina reyna_primera
16/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,mandarina reyna_primera
17/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,mandarina reyna_primera
18/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,mandarina reyna_primera
19/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,mandarina reyna_primera
22/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,mandarina reyna_primera
23/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,mandarina reyna_primera
24/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,mandarina reyna_primera
25/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,mandarina reyna_primera
26/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.50,7.00,6.00,,mandarina reyna_primera
29/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.50,6.50,6.00,,mandarina reyna_primera
30/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.50,6.50,6.00,,mandarina reyna_primera
31/01/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.50,6.50,6.00,,mandarina reyna_primera
01/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.50,6.50,6.00,,mandarina reyna_primera
02/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.50,6.50,6.00,,mandarina reyna_primera
06/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.50,6.50,6.00,,mandarina reyna_primera
07/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.50,6.50,6.00,,mandarina reyna_primera
08/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.80,6.50,6.00,,mandarina reyna_primera
09/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.80,6.50,6.00,,mandarina reyna_primera
12/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.80,6.50,6.00,,mandarina reyna_primera
13/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.80,6.50,6.00,,mandarina reyna_primera
14/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.80,6.50,6.00,,mandarina reyna_primera
15/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.70,6.20,6.00,,mandarina reyna_primera
16/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.70,6.20,6.00,,mandarina reyna_primera
19/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.80,6.50,6.00,,mandarina reyna_primera
20/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.80,6.50,6.00,,mandarina reyna_primera
21/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.80,6.50,6.00,,mandarina reyna_primera
22/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,6.00,,mandarina reyna_primera
23/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.80,6.00,5.50,,mandarina reyna_primera
26/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.80,5.50,5.00,,mandarina reyna_primera
27/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.80,5.50,5.00,,mandarina reyna_primera
28/02/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.80,5.50,5.00,,mandarina reyna_primera
01/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.80,5.50,5.00,,mandarina reyna_primera
02/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.80,5.50,5.00,,mandarina reyna_primera
05/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.50,5.00,,mandarina reyna_primera
06/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.50,5.00,,mandarina reyna_primera
07/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.50,5.00,,mandarina reyna_primera
08/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.50,5.00,,mandarina reyna_primera
09/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.50,5.00,,mandarina reyna_primera
12/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.30,4.80,,mandarina reyna_primera
13/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.30,4.80,,mandarina reyna_primera
14/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.80,5.50,5.00,,mandarina reyna_primera
15/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.80,5.50,5.00,,mandarina reyna_primera
16/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.80,5.50,5.00,,mandarina reyna_primera
20/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.80,5.00,5.00,,mandarina reyna_primera
21/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.80,5.00,5.00,,mandarina reyna_primera
22/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.80,5.00,5.00,,mandarina reyna_primera
23/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.00,4.80,,mandarina reyna_primera
26/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.00,4.80,,mandarina reyna_primera
27/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.00,4.80,,mandarina reyna_primera
28/03/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.00,4.80,,mandarina reyna_primera
02/04/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.00,4.80,,mandarina reyna_primera
03/04/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.00,4.80,,mandarina reyna_primera
04/04/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.00,4.80,,mandarina reyna_primera
05/04/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.00,4.80,,mandarina reyna_primera
06/04/2018,Kilogramo,Veracruz,DF: Central de Abasto de Iztapalapa DF,4.50,5.00,4.80,,mandarina reyna_primera
21/11/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.00,,mandarina reyna_primera
22/11/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.00,,mandarina reyna_primera
23/11/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",7.00,8.00,7.00,,mandarina reyna_primera
26/11/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",7.00,8.00,7.50,,mandarina reyna_primera
27/11/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",7.00,8.00,7.50,,mandarina reyna_primera
28/11/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.00,,mandarina reyna_primera
29/11/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.00,,mandarina reyna_primera
30/11/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.50,,mandarina reyna_primera
03/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,9.00,8.50,,mandarina reyna_primera
04/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.00,,mandarina reyna_primera
05/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.50,7.50,,mandarina reyna_primera
06/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.50,7.50,,mandarina reyna_primera
07/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",7.00,8.00,7.50,,mandarina reyna_primera
10/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,8.00,,mandarina reyna_primera
11/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,8.00,,mandarina reyna_primera
12/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,8.00,,mandarina reyna_primera
13/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,8.00,,mandarina reyna_primera
14/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.00,,mandarina reyna_primera
17/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,9.00,8.00,,mandarina reyna_primera
18/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.50,,mandarina reyna_primera
19/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.00,,mandarina reyna_primera
20/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.50,,mandarina reyna_primera
21/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.00,,mandarina reyna_primera
24/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.50,,mandarina reyna_primera
26/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.00,,mandarina reyna_primera
27/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.00,,mandarina reyna_primera
28/12/2018,Kilogramo,Veracruz,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.50,,mandarina reyna_primera
02/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
03/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
04/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
05/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
08/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
09/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
10/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
11/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
12/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
15/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
16/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
17/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
18/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
19/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
22/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
23/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
24/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
25/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
26/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
29/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
30/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
31/01/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
01/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
02/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
06/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
07/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
08/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
09/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,6.00,6.00,6.00,,mandarina reyna_primera
12/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,6.00,6.00,6.00,,mandarina reyna_primera
13/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,6.00,6.00,6.00,,mandarina reyna_primera
14/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,6.00,6.00,6.00,,mandarina reyna_primera
15/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,6.00,6.00,6.00,,mandarina reyna_primera
16/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,6.00,6.00,6.00,,mandarina reyna_primera
19/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,6.00,6.00,6.00,,mandarina reyna_primera
20/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
21/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
22/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
23/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
26/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
27/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
28/02/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
01/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
02/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
05/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
06/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
07/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
08/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
09/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
12/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
13/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
14/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
15/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
16/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
20/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
21/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
22/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
23/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
26/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
27/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
28/03/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
02/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
03/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
04/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
05/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
06/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
09/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
10/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
11/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
12/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
13/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
16/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
17/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
18/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
19/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
20/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
23/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
24/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
25/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
26/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
27/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
30/04/2018,Kilogramo,Guerrero,Guerrero: Central de Abastos de Acapulco,8.00,8.00,8.00,,mandarina reyna_primera
15/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,6.00,6.20,6.00,,mandarina reyna_primera
16/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,6.00,6.20,6.00,,mandarina reyna_primera
17/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,6.00,6.20,6.00,,mandarina reyna_primera
18/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,6.00,6.20,6.00,,mandarina reyna_primera
19/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,6.00,6.20,6.00,,mandarina reyna_primera
22/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,5.50,6.00,5.50,,mandarina reyna_primera
23/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,5.50,6.00,5.50,,mandarina reyna_primera
24/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,5.50,6.00,5.50,,mandarina reyna_primera
25/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,5.50,6.00,5.50,,mandarina reyna_primera
26/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,5.50,6.00,5.50,,mandarina reyna_primera
29/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,5.50,6.00,6.00,,mandarina reyna_primera
30/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,5.50,6.00,6.00,,mandarina reyna_primera
31/01/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,5.50,6.00,6.00,,mandarina reyna_primera
01/02/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,6.00,6.50,6.50,,mandarina reyna_primera
02/02/2018,Kilogramo,Veracruz,México: Central de Abasto de Ecatepec,6.00,6.50,6.50,,mandarina reyna_primera
