fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,10.00,10.50,10.00,,mandarina tangerina_primera
03/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,10.00,10.50,10.00,,mandarina tangerina_primera
04/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,10.00,10.50,10.00,,mandarina tangerina_primera
05/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,10.00,10.50,10.00,,mandarina tangerina_primera
08/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,10.00,10.50,10.00,,mandarina tangerina_primera
09/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,10.00,10.50,10.00,,mandarina tangerina_primera
10/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,10.00,10.50,10.00,,mandarina tangerina_primera
11/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,10.00,10.50,10.00,,mandarina tangerina_primera
12/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,10.00,10.50,10.00,,mandarina tangerina_primera
15/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,10.00,10.50,10.00,,mandarina tangerina_primera
16/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,8.50,10.00,10.00,,mandarina tangerina_primera
17/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,8.50,10.00,10.00,,mandarina tangerina_primera
18/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,8.50,10.00,10.00,,mandarina tangerina_primera
19/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,8.50,10.00,10.00,,mandarina tangerina_primera
22/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,8.50,10.00,10.00,,mandarina tangerina_primera
23/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,9.50,13.00,9.50,,mandarina tangerina_primera
24/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,9.50,13.00,9.50,,mandarina tangerina_primera
25/01/2018,Kilogramo,Sonora,Chihuahua: Central de Abasto de Chihuahua,9.50,13.00,9.50,,mandarina tangerina_primera
