fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
12/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,7.19,7.50,7.19,,mango criollo_primera
13/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,7.19,7.50,7.19,,mango criollo_primera
14/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,7.19,7.50,7.19,,mango criollo_primera
15/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,7.19,7.50,7.19,,mango criollo_primera
16/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,7.19,7.50,7.19,,mango criollo_primera
19/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
20/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
21/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
22/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
23/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
26/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
27/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
28/02/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
01/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
02/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
05/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
06/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
07/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
08/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
09/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
12/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
13/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
14/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
15/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
16/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
20/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
21/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,5.94,6.25,5.94,,mango criollo_primera
22/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,7.19,7.50,7.19,,mango criollo_primera
23/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,7.19,7.50,7.19,,mango criollo_primera
26/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,7.81,8.75,7.81,,mango criollo_primera
27/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,7.81,8.75,7.81,,mango criollo_primera
28/03/2018,Caja de 32 kg.,Oaxaca,Jalisco: Mercado de Abasto de Guadalajara,7.81,8.75,7.81,,mango criollo_primera
