fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
09/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,14.17,14.50,14.33,,mango manililla_primera
10/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,14.17,14.50,14.33,,mango manililla_primera
11/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,14.17,14.50,14.33,,mango manililla_primera
12/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,13.17,13.50,13.33,,mango manililla_primera
15/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,13.17,13.50,13.33,,mango manililla_primera
16/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,13.17,13.50,13.33,,mango manililla_primera
17/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,13.17,13.50,13.33,,mango manililla_primera
18/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,13.17,13.50,13.33,,mango manililla_primera
19/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,13.17,13.50,13.33,,mango manililla_primera
22/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,11.83,12.17,12.00,,mango manililla_primera
23/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,11.83,12.17,12.00,,mango manililla_primera
24/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,11.83,12.17,12.00,,mango manililla_primera
25/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,11.83,12.17,12.00,,mango manililla_primera
26/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.50,7.83,7.67,,mango manililla_primera
29/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.50,7.83,7.67,,mango manililla_primera
30/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.50,7.83,7.67,,mango manililla_primera
31/01/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.50,5.83,5.67,,mango manililla_primera
01/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.50,5.83,5.67,,mango manililla_primera
02/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.50,5.83,5.67,,mango manililla_primera
06/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.50,5.83,5.67,,mango manililla_primera
07/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.83,6.17,6.00,,mango manililla_primera
08/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.83,6.17,6.00,,mango manililla_primera
09/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.83,6.17,6.00,,mango manililla_primera
12/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.83,6.17,6.00,,mango manililla_primera
13/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.83,6.17,6.00,,mango manililla_primera
14/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.83,6.17,6.00,,mango manililla_primera
15/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.83,6.17,6.00,,mango manililla_primera
16/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.83,6.17,6.00,,mango manililla_primera
19/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.83,6.17,6.00,,mango manililla_primera
20/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.83,6.17,6.00,,mango manililla_primera
21/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.17,7.50,7.33,,mango manililla_primera
22/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.17,7.50,7.33,,mango manililla_primera
23/02/2018,Caja de 30 kg.,Chiapas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.17,7.50,7.33,,mango manililla_primera
