fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,19.17,19.72,19.44,A GRANEL,manzana golden delicious_primera
02/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,30.28,30.83,30.56,,manzana golden delicious_primera
03/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,19.17,19.72,19.44,A GRANEL,manzana golden delicious_primera
03/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,30.28,30.83,30.56,,manzana golden delicious_primera
04/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,19.17,19.72,19.44,A GRANEL,manzana golden delicious_primera
04/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,30.28,30.83,30.56,,manzana golden delicious_primera
05/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,19.17,19.72,19.44,A GRANEL,manzana golden delicious_primera
05/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,30.28,30.83,30.56,,manzana golden delicious_primera
08/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,19.17,19.72,19.44, A GRANEL,manzana golden delicious_primera
08/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,30.28,30.83,30.56,,manzana golden delicious_primera
09/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.06,27.78,A GRANEL,manzana golden delicious_primera
09/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,38.61,39.17,38.89,,manzana golden delicious_primera
10/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.06,27.78,A GRANEL,manzana golden delicious_primera
10/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,38.61,39.17,38.89,,manzana golden delicious_primera
11/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.06,27.78,A GRANEL,manzana golden delicious_primera
11/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,38.61,39.17,38.89,,manzana golden delicious_primera
12/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,20.28,20.83,20.56,A GRANEL,manzana golden delicious_primera
12/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,26.94,27.50,27.22,,manzana golden delicious_primera
15/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,20.28,20.83,20.56,A GRANEL,manzana golden delicious_primera
15/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,26.94,27.50,27.22,,manzana golden delicious_primera
16/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,20.28,20.83,20.56,A GRANEL,manzana golden delicious_primera
16/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,26.94,27.50,27.22,,manzana golden delicious_primera
17/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,20.28,20.83,20.56,A GRANEL,manzana golden delicious_primera
17/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,26.94,27.50,27.22,,manzana golden delicious_primera
18/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,20.28,20.83,20.56,A GRANEL,manzana golden delicious_primera
18/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,26.94,27.50,27.22,,manzana golden delicious_primera
19/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,20.28,20.83,20.56,A GRANEL,manzana golden delicious_primera
19/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,26.94,27.50,27.22,,manzana golden delicious_primera
22/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,20.28,20.83,20.56,A GARNEL,manzana golden delicious_primera
22/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,26.94,27.50,27.22,,manzana golden delicious_primera
23/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,20.28,20.83,20.56,A GRANEL,manzana golden delicious_primera
23/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,26.94,27.50,27.22,,manzana golden delicious_primera
24/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,20.28,20.83,20.56,A GRANEL,manzana golden delicious_primera
24/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,26.94,27.50,27.22,,manzana golden delicious_primera
25/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,20.28,20.83,20.56,A GRANEL,manzana golden delicious_primera
25/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,26.94,27.50,27.22,,manzana golden delicious_primera
26/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,22.50,23.06,22.78,A GRANEL,manzana golden delicious_primera
26/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.06,27.78,,manzana golden delicious_primera
29/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,22.50,23.06,22.78,A GRANEL,manzana golden delicious_primera
29/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.06,27.78,,manzana golden delicious_primera
30/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,22.50,23.06,22.78,A GRANEL,manzana golden delicious_primera
30/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.06,27.78,,manzana golden delicious_primera
31/01/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,22.50,23.06,22.78,A GRANEL,manzana golden delicious_primera
31/01/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.06,27.78,,manzana golden delicious_primera
01/02/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,22.50,23.06,22.78,A GRANEL,manzana golden delicious_primera
01/02/2018,Caja de 18 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,27.50,28.06,27.78,,manzana golden delicious_primera
02/02/2018,Caja de 18 kg.,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,22.50,23.06,22.78,A GRANEL,manzana golden delicious_primera
