fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
08/05/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,16.00,22.00,22.00,,melón cantaloupe # 23_primera
12/05/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,14.00,16.00,16.00,,melón cantaloupe # 23_primera
15/05/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,14.00,16.00,16.00,,melón cantaloupe # 23_primera
19/05/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,12.00,14.00,14.00,,melón cantaloupe # 23_primera
22/05/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,14.00,16.00,16.00,,melón cantaloupe # 23_primera
26/05/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,14.00,16.00,16.00,,melón cantaloupe # 23_primera
15/09/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,17.00,22.00,22.00,,melón cantaloupe # 23_primera
18/09/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,17.00,22.00,22.00,,melón cantaloupe # 23_primera
22/09/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,16.00,20.00,20.00,,melón cantaloupe # 23_primera
25/09/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,16.00,20.00,20.00,,melón cantaloupe # 23_primera
29/09/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
02/10/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
06/10/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
09/10/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
13/10/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
16/10/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
20/10/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
23/10/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
27/10/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
30/10/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
03/11/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
06/11/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
10/11/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
13/11/2020,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,18.00,20.00,20.00,,melón cantaloupe # 23_primera
