fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
22/08/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
23/08/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
24/08/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
27/08/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
28/08/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
29/08/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
30/08/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
31/08/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
03/09/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
04/09/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
05/09/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
06/09/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
07/09/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
10/09/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
11/09/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
12/09/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
13/09/2018,Caja de 20 kg.,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",12.00,12.25,12.15,,membrillo_primera
