fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
22/10/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.20,7.20,7.20,,naranja march mediana_primera
23/10/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.20,7.20,7.20,,naranja march mediana_primera
24/10/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.50,7.50,7.50,,naranja march mediana_primera
25/10/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.50,7.50,7.50,,naranja march mediana_primera
26/10/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.20,7.40,7.20,,naranja march mediana_primera
29/10/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.20,7.30,7.30,,naranja march mediana_primera
30/10/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.20,7.50,7.30,,naranja march mediana_primera
31/10/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.20,7.40,7.20,,naranja march mediana_primera
01/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.20,7.40,7.20,,naranja march mediana_primera
05/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.20,7.50,7.50,,naranja march mediana_primera
06/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.20,7.50,7.50,,naranja march mediana_primera
07/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.20,7.50,7.20,,naranja march mediana_primera
08/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.20,7.40,7.40,,naranja march mediana_primera
09/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.20,7.40,7.40,,naranja march mediana_primera
12/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.40,7.50,7.50,,naranja march mediana_primera
13/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",7.40,7.50,7.50,,naranja march mediana_primera
14/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",6.80,7.00,6.80,,naranja march mediana_primera
15/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",6.80,7.00,7.00,,naranja march mediana_primera
16/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",6.80,7.00,6.80,,naranja march mediana_primera
20/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",6.80,7.00,7.00,,naranja march mediana_primera
21/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",6.80,7.00,6.80,,naranja march mediana_primera
22/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",6.80,7.00,6.80,,naranja march mediana_primera
23/11/2018,Kilogramo,Nuevo León,"Durango: Central de Abasto ""Francisco Villa""",6.80,7.00,7.00,,naranja march mediana_primera
15/02/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.00,5.50,5.00,,naranja march mediana_primera
16/02/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.00,5.50,5.50,,naranja march mediana_primera
19/02/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.00,5.50,5.50,,naranja march mediana_primera
20/02/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.00,6.00,5.50,,naranja march mediana_primera
21/02/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.50,7.00,6.00,,naranja march mediana_primera
22/02/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.50,6.50,6.50,,naranja march mediana_primera
23/02/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.50,6.00,6.00,,naranja march mediana_primera
26/02/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
27/02/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
28/02/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.50,7.00,6.00,,naranja march mediana_primera
01/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.50,6.00,6.00,,naranja march mediana_primera
02/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
05/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.50,6.00,6.00,,naranja march mediana_primera
06/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,6.50,6.00,,naranja march mediana_primera
07/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.50,7.00,6.00,,naranja march mediana_primera
08/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.50,6.00,6.00,,naranja march mediana_primera
09/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,6.50,6.00,,naranja march mediana_primera
12/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
13/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
14/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.50,7.00,,naranja march mediana_primera
15/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.50,7.00,,naranja march mediana_primera
16/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.50,7.00,,naranja march mediana_primera
20/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
21/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
22/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
23/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,6.50,6.50,,naranja march mediana_primera
26/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.80,7.00,6.00,,naranja march mediana_primera
27/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.50,6.50,6.00,,naranja march mediana_primera
28/03/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,6.50,6.00,,naranja march mediana_primera
02/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",5.50,7.00,6.00,,naranja march mediana_primera
03/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.50,,naranja march mediana_primera
04/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,7.00,,naranja march mediana_primera
05/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,7.00,,naranja march mediana_primera
06/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,7.00,,naranja march mediana_primera
09/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
10/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
11/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.50,,naranja march mediana_primera
12/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.50,,naranja march mediana_primera
13/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,6.50,6.00,,naranja march mediana_primera
16/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.50,6.50,,naranja march mediana_primera
17/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.50,,naranja march mediana_primera
18/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
19/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
20/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
23/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
24/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.50,,naranja march mediana_primera
25/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.50,,naranja march mediana_primera
26/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.00,,naranja march mediana_primera
27/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,7.00,,naranja march mediana_primera
30/04/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.50,,naranja march mediana_primera
02/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,6.50,,naranja march mediana_primera
03/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.50,7.00,,naranja march mediana_primera
04/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.50,6.00,,naranja march mediana_primera
07/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,7.00,7.00,,naranja march mediana_primera
08/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,8.00,7.50,,naranja march mediana_primera
09/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,8.00,7.50,,naranja march mediana_primera
10/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.00,8.00,7.00,,naranja march mediana_primera
11/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",7.00,7.50,7.50,,naranja march mediana_primera
14/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.80,7.50,7.50,,naranja march mediana_primera
15/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",6.50,7.50,7.50,,naranja march mediana_primera
16/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",7.00,7.50,7.50,,naranja march mediana_primera
17/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",7.00,7.50,7.50,,naranja march mediana_primera
18/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",7.50,8.50,8.00,,naranja march mediana_primera
21/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",8.00,8.50,8.50,,naranja march mediana_primera
22/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",8.00,9.00,8.00,,naranja march mediana_primera
23/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",7.80,10.00,9.00,,naranja march mediana_primera
24/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",8.50,9.00,9.00,,naranja march mediana_primera
25/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",9.00,12.00,10.00,,naranja march mediana_primera
28/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",9.50,13.00,10.00,,naranja march mediana_primera
29/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",9.50,12.00,10.00,,naranja march mediana_primera
30/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",10.00,12.00,10.00,,naranja march mediana_primera
31/05/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",10.00,12.00,10.00,,naranja march mediana_primera
01/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",10.00,13.50,10.50,,naranja march mediana_primera
04/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",10.50,13.00,11.00,,naranja march mediana_primera
05/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",11.00,15.00,12.00,,naranja march mediana_primera
06/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",11.00,12.00,12.00,,naranja march mediana_primera
07/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",11.50,15.00,11.50,,naranja march mediana_primera
08/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",11.50,14.00,12.00,,naranja march mediana_primera
11/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",11.50,14.00,12.00,,naranja march mediana_primera
12/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",12.00,15.00,13.00,,naranja march mediana_primera
13/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",12.00,15.00,13.00,,naranja march mediana_primera
14/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",13.00,16.00,14.00,,naranja march mediana_primera
15/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",13.00,16.00,14.00,,naranja march mediana_primera
18/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",13.00,17.00,14.00,,naranja march mediana_primera
19/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,18.00,15.00,,naranja march mediana_primera
20/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",14.00,19.00,15.00,,naranja march mediana_primera
21/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",14.00,19.00,15.00,,naranja march mediana_primera
22/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,19.00,15.00,,naranja march mediana_primera
25/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,19.00,16.00,,naranja march mediana_primera
26/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,19.00,16.00,,naranja march mediana_primera
27/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,18.00,16.00,,naranja march mediana_primera
28/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,20.00,16.00,,naranja march mediana_primera
29/06/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,20.00,17.00,,naranja march mediana_primera
02/07/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,20.00,18.00,,naranja march mediana_primera
03/07/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,20.00,18.00,,naranja march mediana_primera
04/07/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,18.00,18.00,,naranja march mediana_primera
05/07/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,18.00,18.00,,naranja march mediana_primera
06/07/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,17.00,17.00,,naranja march mediana_primera
09/07/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,17.00,17.00,,naranja march mediana_primera
10/07/2018,Kilogramo,Nuevo León,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",14.00,17.00,16.00,,naranja march mediana_primera
