fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen U.S.A.,nectarina_primera
03/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen U.S.A.,nectarina_primera
04/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen U.S.A.,nectarina_primera
05/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen Chile.,nectarina_primera
08/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen U.S.A.,nectarina_primera
09/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen U.S.A.,nectarina_primera
10/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen U.S.A.,nectarina_primera
11/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen U.S.A.,nectarina_primera
12/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen U.S.A.,nectarina_primera
15/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen U.S.A.,nectarina_primera
16/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen U.S.A.,nectarina_primera
17/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.91,50.00,Origen U.S.A.,nectarina_primera
18/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.45,50.00,Origen U.S.A.,nectarina_primera
19/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen U.S.A.,nectarina_primera
22/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen U.S.A.,nectarina_primera
23/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",50.00,50.00,50.00,Origen Chile.,nectarina_primera
24/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",45.45,45.45,45.45,Origen Chile.,nectarina_primera
25/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",47.27,47.27,47.27,Origen U.S.A.,nectarina_primera
26/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",47.27,50.00,50.00,Origen U.S.A.,nectarina_primera
31/01/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",45.45,45.45,45.45,Origen Chjile.,nectarina_primera
01/02/2018,Caja de 11 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",45.45,45.45,45.45,Origen U.S.A.,nectarina_primera
