fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,75.00,70.00,,orégano_primera
03/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",70.00,75.00,70.00,,orégano_primera
04/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,70.00,65.00,,orégano_primera
05/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,75.00,65.00,,orégano_primera
08/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,75.00,65.00,,orégano_primera
09/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,75.00,65.00,,orégano_primera
10/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,75.00,70.00,,orégano_primera
11/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",60.00,75.00,65.00,,orégano_primera
12/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,75.00,65.00,,orégano_primera
15/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,75.00,65.00,,orégano_primera
16/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,75.00,65.00,,orégano_primera
17/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,70.00,68.00,,orégano_primera
18/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,70.00,65.00,,orégano_primera
19/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,65.00,65.00,,orégano_primera
22/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,75.00,70.00,,orégano_primera
23/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,75.00,70.00,,orégano_primera
24/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,70.00,65.00,,orégano_primera
25/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,70.00,65.00,,orégano_primera
26/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",50.00,65.00,55.00,,orégano_primera
29/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",65.00,75.00,65.00,,orégano_primera
30/01/2018,Kilogramo,Durango,"Durango: Central de Abasto ""Francisco Villa""",55.00,65.00,55.00,,orégano_primera
