fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",14.00,17.00,16.00,,papa galeana_primera
03/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,17.00,15.00,,papa galeana_primera
04/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,18.00,17.00,,papa galeana_primera
05/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,17.00,15.00,,papa galeana_primera
08/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,19.00,19.00,,papa galeana_primera
09/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,19.00,17.00,,papa galeana_primera
10/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,19.00,18.00,,papa galeana_primera
11/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,18.00,17.00,,papa galeana_primera
12/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,18.00,18.00,,papa galeana_primera
15/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,18.00,18.00,,papa galeana_primera
16/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,18.00,18.00,,papa galeana_primera
17/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,19.00,19.00,,papa galeana_primera
18/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",18.00,20.00,18.00,,papa galeana_primera
19/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",18.00,19.00,19.00,,papa galeana_primera
22/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",18.00,19.00,19.00,,papa galeana_primera
23/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,19.00,18.00,,papa galeana_primera
24/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,19.00,18.00,,papa galeana_primera
25/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,19.00,18.00,,papa galeana_primera
26/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,19.00,18.00,,papa galeana_primera
29/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,18.00,18.00,,papa galeana_primera
30/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,19.00,18.00,,papa galeana_primera
31/01/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,19.00,18.00,,papa galeana_primera
01/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,18.00,18.00,,papa galeana_primera
02/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,18.00,18.00,,papa galeana_primera
06/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,19.00,18.00,,papa galeana_primera
07/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,18.00,18.00,,papa galeana_primera
08/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,18.00,18.00,,papa galeana_primera
09/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,18.00,18.00,,papa galeana_primera
12/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,18.00,18.00,,papa galeana_primera
13/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",17.00,18.00,18.00,,papa galeana_primera
14/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",18.00,19.00,18.00,,papa galeana_primera
15/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,18.00,16.00,,papa galeana_primera
16/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,18.00,16.00,,papa galeana_primera
19/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,18.00,16.00,,papa galeana_primera
20/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,18.00,16.00,,papa galeana_primera
21/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,18.00,17.00,,papa galeana_primera
22/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",16.00,18.00,16.00,,papa galeana_primera
23/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,17.00,16.00,,papa galeana_primera
26/02/2018,Kilogramo,Puebla,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",15.00,17.00,16.00,,papa galeana_primera
