fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,14.17,14.58,14.58,,papa gema_primera
03/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,14.17,14.58,14.58,,papa gema_primera
04/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,14.17,14.58,14.58,,papa gema_primera
05/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,13.75,14.17,13.75,,papa gema_primera
08/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,13.75,14.17,13.75,,papa gema_primera
09/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,13.75,14.17,13.75,,papa gema_primera
10/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,13.75,14.17,13.75,,papa gema_primera
11/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,14.17,14.58,14.58,,papa gema_primera
12/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,14.17,14.58,14.58,,papa gema_primera
15/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,14.17,14.58,14.58,,papa gema_primera
16/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,15.83,16.25,16.25,,papa gema_primera
17/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,15.83,16.25,16.25,,papa gema_primera
18/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,15.83,16.25,16.25,,papa gema_primera
19/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,15.83,16.25,16.25,,papa gema_primera
22/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,15.83,16.25,16.25,,papa gema_primera
23/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,15.83,16.25,16.25,,papa gema_primera
24/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,15.83,16.25,16.25,,papa gema_primera
25/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,16.67,17.08,17.08,,papa gema_primera
26/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,16.67,17.08,17.08,,papa gema_primera
29/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,16.67,17.08,17.08,,papa gema_primera
30/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,16.67,17.08,17.08,,papa gema_primera
31/01/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,16.67,17.08,17.08,,papa gema_primera
01/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,16.67,17.08,17.08,,papa gema_primera
02/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,16.67,17.08,17.08,,papa gema_primera
06/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,16.67,17.08,17.08,,papa gema_primera
07/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,23.33,23.75,23.33,,papa gema_primera
08/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,23.33,23.75,23.33,,papa gema_primera
09/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,23.33,23.75,23.33,,papa gema_primera
12/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,23.33,23.75,23.33,,papa gema_primera
13/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,23.33,23.75,23.33,,papa gema_primera
14/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,23.33,23.75,23.33,,papa gema_primera
15/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,23.33,23.75,23.33,,papa gema_primera
16/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,23.33,23.75,23.33,,papa gema_primera
19/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,19.17,19.58,19.58,,papa gema_primera
20/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,19.17,19.58,19.58,,papa gema_primera
21/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,19.17,19.58,19.58,,papa gema_primera
22/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,19.17,19.58,19.58,,papa gema_primera
23/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,18.75,19.17,18.75,,papa gema_primera
26/02/2018,Caja de 24 kg.,Veracruz,Veracruz: Central de Abasto de Jalapa,18.75,19.17,18.75,,papa gema_primera
