fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 23 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.48,8.91,8.70,TOLUCA,pepino_primera
03/01/2018,Caja de 23 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.48,8.91,8.70,,pepino_primera
04/01/2018,Caja de 23 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.48,8.91,8.70,,pepino_primera
05/01/2018,Caja de 23 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.48,8.91,8.70,,pepino_primera
08/01/2018,Caja de 23 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.48,8.91,8.70,,pepino_primera
09/01/2018,Caja de 23 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.83,13.26,13.04,,pepino_primera
10/01/2018,Caja de 23 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.83,13.26,13.04,,pepino_primera
11/01/2018,Caja de 23 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.83,13.26,13.04,,pepino_primera
12/01/2018,Caja de 23 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.83,13.26,13.04,,pepino_primera
15/01/2018,Caja de 23 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.83,13.26,13.04,,pepino_primera
16/01/2018,Caja de 23 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.83,13.26,13.04,,pepino_primera
17/01/2018,Caja de 23 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.83,13.26,13.04,,pepino_primera
18/01/2018,Caja de 23 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.83,13.26,13.04,,pepino_primera
19/01/2018,Caja de 23 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12.83,13.26,13.04,,pepino_primera
22/01/2018,Caja de 23 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.22,10.65,10.43,,pepino_primera
23/01/2018,Caja de 23 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.22,10.65,10.43,,pepino_primera
24/01/2018,Caja de 23 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.22,10.65,10.43,,pepino_primera
25/01/2018,Caja de 23 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.22,10.65,10.43,,pepino_primera
26/01/2018,Caja de 23 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.48,8.91,8.70,,pepino_primera
29/01/2018,Caja de 23 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.48,8.91,8.70,,pepino_primera
30/01/2018,Caja de 23 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.48,8.91,8.70,,pepino_primera
31/01/2018,Caja de 23 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.65,11.09,10.87,,pepino_primera
