fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
14/09/2018,Caja de 20 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",32.25,32.75,32.25,Origen U.S.A.,pera asiática_primera
17/09/2018,Caja de 20 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",32.25,32.50,32.50,Origen U.S.A.,pera asiática_primera
18/09/2018,Caja de 20 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",32.25,32.50,32.50,Origen U.S.A.,pera asiática_primera
19/09/2018,Caja de 20 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",32.25,32.25,32.25,Origen U.S.A.,pera asiática_primera
20/09/2018,Caja de 20 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",32.50,32.50,32.50,Origen U.S.A.,pera asiática_primera
21/09/2018,Caja de 20 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",32.50,32.50,32.50,Origen U.S.A.,pera asiática_primera
24/09/2018,Caja de 20 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",32.50,32.50,32.50,Origen U.S.A.,pera asiática_primera
25/09/2018,Caja de 20 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",32.50,32.50,32.50,Origen U.S.A.,pera asiática_primera
26/09/2018,Caja de 20 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",32.50,32.50,32.50,Origen U.S.A.,pera asiática_primera
27/09/2018,Caja de 20 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",32.50,32.50,32.50,Origen U.S.A.,pera asiática_primera
