fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",32.50,33.00,32.50,,pera bartlett # 135_primera
03/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",32.50,33.00,32.50,,pera bartlett # 135_primera
04/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",32.50,33.00,32.50,,pera bartlett # 135_primera
05/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",32.50,33.00,32.50,,pera bartlett # 135_primera
08/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",32.50,33.00,32.50,,pera bartlett # 135_primera
09/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",32.50,33.00,32.50,,pera bartlett # 135_primera
10/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",32.50,33.00,32.50,,pera bartlett # 135_primera
11/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",32.50,33.00,32.50,,pera bartlett # 135_primera
12/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",32.50,33.00,32.50,,pera bartlett # 135_primera
15/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",32.50,33.00,32.50,,pera bartlett # 135_primera
16/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",32.50,33.00,32.50,,pera bartlett # 135_primera
17/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
18/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
19/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
22/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
23/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
24/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
25/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
26/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
29/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
30/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
31/01/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
01/02/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
02/02/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
06/02/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",30.00,30.50,30.25,,pera bartlett # 135_primera
07/02/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",26.00,26.25,26.00,,pera bartlett # 135_primera
08/02/2018,Caja de 20 kg.,Importación,"Coahuila: Central de Abasto de La Laguna, Torreón",26.00,26.25,26.00,,pera bartlett # 135_primera
