fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
25/10/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
26/10/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
29/10/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
30/10/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
31/10/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
01/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
05/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
06/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
07/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
08/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
09/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
12/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
13/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
14/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
15/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
16/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
20/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
21/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
22/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
23/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
26/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
27/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
28/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
29/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
30/11/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
03/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
04/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
05/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
06/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
07/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
10/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
11/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
12/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
13/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
14/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
17/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
18/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
19/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
20/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
21/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
24/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
26/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
27/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
28/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
31/12/2018,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
02/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
03/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
04/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
07/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
08/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
09/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
10/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
11/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
14/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
15/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
16/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
17/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
18/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
21/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
22/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
23/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
24/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
25/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
28/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
29/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
30/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
31/01/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
01/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
05/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
06/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
07/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
08/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
11/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
12/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
13/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
14/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
15/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
18/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
19/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
20/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
21/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
22/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
25/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
26/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
27/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
28/02/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
01/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
04/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
05/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
06/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
07/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
08/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
11/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
12/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
13/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
14/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
15/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
19/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
20/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
21/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
22/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
25/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
26/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
27/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
28/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
29/03/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
01/04/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
02/04/2019,Caja de 16 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",30.63,30.63,30.63,,pera bosco_primera
