fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
01/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",15.00,16.00,15.00,,pera lechera_primera
02/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",15.00,16.00,15.00,,pera lechera_primera
03/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",15.00,16.00,16.00,,pera lechera_primera
04/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",15.00,16.00,15.00,,pera lechera_primera
05/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",15.00,16.00,15.00,,pera lechera_primera
08/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",15.00,16.00,16.00,,pera lechera_primera
09/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",15.00,16.00,16.00,,pera lechera_primera
10/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",15.00,16.00,15.00,,pera lechera_primera
11/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",15.00,16.00,15.00,,pera lechera_primera
12/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",15.00,16.00,16.00,,pera lechera_primera
15/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",11.00,12.00,11.00,,pera lechera_primera
16/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",11.00,12.00,11.00,,pera lechera_primera
17/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.00,12.50,12.00,,pera lechera_primera
18/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.00,12.50,12.00,,pera lechera_primera
19/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.00,12.50,12.00,,pera lechera_primera
22/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.00,12.50,12.50,,pera lechera_primera
23/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.50,13.00,13.00,,pera lechera_primera
24/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.00,12.50,12.50,,pera lechera_primera
25/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.00,13.00,12.00,,pera lechera_primera
26/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",11.00,12.00,12.00,,pera lechera_primera
29/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.00,13.00,12.50,,pera lechera_primera
30/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.50,13.00,13.00,,pera lechera_primera
31/07/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.50,13.00,12.50,,pera lechera_primera
01/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.50,13.00,13.00,,pera lechera_primera
02/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.50,13.00,12.50,,pera lechera_primera
05/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.50,13.00,12.75,,pera lechera_primera
06/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.50,13.00,13.00,,pera lechera_primera
07/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.50,13.00,13.00,,pera lechera_primera
08/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.50,13.00,12.75,,pera lechera_primera
09/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.50,13.00,12.50,,pera lechera_primera
12/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.50,13.00,12.75,,pera lechera_primera
13/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.50,12.50,12.50,,pera lechera_primera
14/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",12.00,12.50,12.50,,pera lechera_primera
15/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",11.50,11.50,11.50,,pera lechera_primera
16/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",11.50,11.50,11.50,,pera lechera_primera
19/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",11.00,11.50,11.00,,pera lechera_primera
20/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",11.00,11.50,11.00,,pera lechera_primera
21/08/2019,Caja de 20 kg.,Durango,"Durango: Central de Abasto ""Francisco Villa""",11.00,12.00,12.00,,pera lechera_primera
