fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,32.50,33.00,32.75,,pera mantequilla_primera
03/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,32.60,33.10,33.00,,pera mantequilla_primera
04/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,32.60,33.10,33.00,,pera mantequilla_primera
05/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,32.60,33.10,33.00,,pera mantequilla_primera
08/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,32.60,33.10,33.00,,pera mantequilla_primera
09/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,32.60,33.10,33.00,,pera mantequilla_primera
10/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,32.60,33.10,33.00,,pera mantequilla_primera
11/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,32.60,33.10,33.00,,pera mantequilla_primera
12/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,32.60,33.10,33.00,,pera mantequilla_primera
15/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,32.60,33.10,33.00,,pera mantequilla_primera
16/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,32.60,33.10,33.00,,pera mantequilla_primera
17/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.10,30.60,30.50,,pera mantequilla_primera
18/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.10,30.60,30.50,,pera mantequilla_primera
19/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.10,30.60,30.50,,pera mantequilla_primera
22/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.10,30.60,30.50,,pera mantequilla_primera
23/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.10,30.60,30.50,,pera mantequilla_primera
24/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.00,30.60,30.50,,pera mantequilla_primera
25/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.00,30.60,30.50,,pera mantequilla_primera
26/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.00,30.60,30.50,,pera mantequilla_primera
29/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.00,30.60,30.50,,pera mantequilla_primera
30/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.00,30.60,30.50,,pera mantequilla_primera
31/01/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.00,30.60,30.50,,pera mantequilla_primera
01/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.00,30.60,30.50,,pera mantequilla_primera
02/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.00,30.60,30.50,,pera mantequilla_primera
06/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,30.00,30.60,30.50,,pera mantequilla_primera
07/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
08/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
09/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
12/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
13/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
14/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
15/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
16/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
19/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
20/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
21/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
22/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
23/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
26/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
27/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,26.10,26.30,26.25,,pera mantequilla_primera
28/02/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
01/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
02/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
05/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
06/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
07/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
08/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
09/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
12/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
13/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
14/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
15/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
16/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
20/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.60,28.10,28.00,,pera mantequilla_primera
21/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.50,28.10,28.00,,pera mantequilla_primera
22/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.50,28.10,28.00,,pera mantequilla_primera
23/03/2018,Caja de 20 kg.,Importación,Durango: Centro de Distribución y Abasto de Gómez Palacio,27.50,28.00,28.00,,pera mantequilla_primera
