fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
24/09/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
25/09/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
26/09/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
27/09/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
28/09/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
01/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,6.00,,pera paraíso_primera
02/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
03/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
04/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
05/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.50,6.00,,pera paraíso_primera
08/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
09/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
10/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
11/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.50,6.00,,pera paraíso_primera
12/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.50,6.00,,pera paraíso_primera
15/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,5.50,,pera paraíso_primera
16/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,5.50,,pera paraíso_primera
17/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,5.50,,pera paraíso_primera
18/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,5.50,,pera paraíso_primera
19/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,5.50,,pera paraíso_primera
22/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.50,7.00,6.00,,pera paraíso_primera
23/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
24/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
25/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
26/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,7.00,6.00,,pera paraíso_primera
29/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.50,7.00,6.00,,pera paraíso_primera
30/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.50,7.00,6.00,,pera paraíso_primera
31/10/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.50,7.00,6.00,,pera paraíso_primera
05/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.50,7.00,6.50,,pera paraíso_primera
06/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,6.00,8.00,6.50,,pera paraíso_primera
07/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,6.00,8.00,6.50,,pera paraíso_primera
08/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,6.00,,pera paraíso_primera
09/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,6.00,,pera paraíso_primera
12/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,6.00,,pera paraíso_primera
13/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,6.00,,pera paraíso_primera
14/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,6.00,,pera paraíso_primera
15/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,5.00,6.50,6.00,,pera paraíso_primera
16/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,6.00,7.50,6.50,,pera paraíso_primera
20/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,6.50,8.00,7.00,,pera paraíso_primera
21/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,6.50,8.00,7.00,,pera paraíso_primera
22/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,6.50,8.00,7.00,,pera paraíso_primera
23/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,6.50,8.00,7.00,,pera paraíso_primera
26/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,pera paraíso_primera
27/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,pera paraíso_primera
28/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,pera paraíso_primera
29/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.50,,pera paraíso_primera
30/11/2018,Caja de 20 kg.,Puebla,DF: Central de Abasto de Iztapalapa DF,6.00,7.00,6.00,,pera paraíso_primera
