fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,250.00,260.00,260.00,,pistache_primera
05/01/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,250.00,260.00,250.00,,pistache_primera
09/01/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,250.00,260.00,250.00,,pistache_primera
12/01/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,260.00,270.00,270.00,,pistache_primera
16/01/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,260.00,270.00,260.00,,pistache_primera
19/01/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,260.00,270.00,260.00,,pistache_primera
23/01/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,300.00,350.00,330.00,,pistache_primera
26/01/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,300.00,350.00,330.00,,pistache_primera
30/01/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,300.00,350.00,330.00,,pistache_primera
02/02/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,300.00,350.00,330.00,,pistache_primera
06/02/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,320.00,350.00,330.00,,pistache_primera
09/02/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,320.00,350.00,330.00,,pistache_primera
13/02/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,320.00,350.00,330.00,,pistache_primera
16/02/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,330.00,360.00,360.00,,pistache_primera
20/02/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,320.00,340.00,340.00,,pistache_primera
23/02/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,320.00,340.00,320.00,,pistache_primera
27/02/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,320.00,340.00,320.00,,pistache_primera
02/03/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,330.00,350.00,340.00,,pistache_primera
06/03/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,340.00,350.00,350.00,,pistache_primera
09/03/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,340.00,350.00,340.00,,pistache_primera
13/03/2018,Kilogramo,Distrito Federal,Oaxaca: Módulo de Abasto de Oaxaca,340.00,350.00,340.00,,pistache_primera
