fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,8.33,10.00,8.89,,plátano chiapas calidad exportación_primera
03/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,10.00,12.78,11.11,,plátano chiapas calidad exportación_primera
04/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,10.00,12.22,11.11,,plátano chiapas calidad exportación_primera
05/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,10.56,12.22,11.11,,plátano chiapas calidad exportación_primera
08/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,15.00,16.67,15.56,,plátano chiapas calidad exportación_primera
09/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,14.44,16.11,15.00,,plátano chiapas calidad exportación_primera
10/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,13.61,15.28,14.17,,plátano chiapas calidad exportación_primera
11/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,13.61,15.28,14.17,,plátano chiapas calidad exportación_primera
12/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,13.89,15.56,14.44,,plátano chiapas calidad exportación_primera
15/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,14.44,13.33,,plátano chiapas calidad exportación_primera
16/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,14.44,13.33,,plátano chiapas calidad exportación_primera
17/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,14.44,13.33,,plátano chiapas calidad exportación_primera
18/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.00,13.33,,plátano chiapas calidad exportación_primera
19/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.00,13.33,,plátano chiapas calidad exportación_primera
22/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.00,13.33,,plátano chiapas calidad exportación_primera
23/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.00,13.33,,plátano chiapas calidad exportación_primera
24/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.00,13.33,,plátano chiapas calidad exportación_primera
25/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.00,13.33,,plátano chiapas calidad exportación_primera
26/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.00,13.33,,plátano chiapas calidad exportación_primera
29/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.28,13.33,,plátano chiapas calidad exportación_primera
30/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.22,15.28,12.78,,plátano chiapas calidad exportación_primera
31/01/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.22,15.28,12.78,,plátano chiapas calidad exportación_primera
01/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.22,15.28,12.78,,plátano chiapas calidad exportación_primera
02/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.56,13.33,,plátano chiapas calidad exportación_primera
06/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.56,13.33,,plátano chiapas calidad exportación_primera
07/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,13.33,15.56,13.89,,plátano chiapas calidad exportación_primera
08/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,13.33,15.28,13.89,,plátano chiapas calidad exportación_primera
09/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,13.33,15.28,13.89,,plátano chiapas calidad exportación_primera
12/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,13.33,15.56,13.89,,plátano chiapas calidad exportación_primera
13/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,13.33,15.56,13.89,,plátano chiapas calidad exportación_primera
14/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,13.33,15.56,13.89,,plátano chiapas calidad exportación_primera
15/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.22,14.44,12.78,,plátano chiapas calidad exportación_primera
16/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,11.67,14.44,12.78,,plátano chiapas calidad exportación_primera
19/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.22,14.72,13.06,,plátano chiapas calidad exportación_primera
20/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.00,13.33,,plátano chiapas calidad exportación_primera
21/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.00,13.33,,plátano chiapas calidad exportación_primera
22/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.00,13.33,,plátano chiapas calidad exportación_primera
23/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,12.78,15.00,13.33,,plátano chiapas calidad exportación_primera
26/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,11.11,14.44,12.22,,plátano chiapas calidad exportación_primera
27/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,11.11,14.44,12.22,,plátano chiapas calidad exportación_primera
28/02/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,11.11,14.44,12.22,,plátano chiapas calidad exportación_primera
01/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,11.11,14.17,12.22,,plátano chiapas calidad exportación_primera
02/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,11.11,14.17,12.22,,plátano chiapas calidad exportación_primera
05/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,10.00,12.78,11.11,,plátano chiapas calidad exportación_primera
06/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,10.00,12.78,11.11,,plátano chiapas calidad exportación_primera
07/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,10.00,12.78,10.56,,plátano chiapas calidad exportación_primera
08/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,9.44,12.50,10.00,,plátano chiapas calidad exportación_primera
09/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,9.44,12.22,10.00,,plátano chiapas calidad exportación_primera
12/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,8.33,11.11,8.89,,plátano chiapas calidad exportación_primera
13/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,8.33,10.56,8.89,,plátano chiapas calidad exportación_primera
14/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,8.33,10.56,8.89,,plátano chiapas calidad exportación_primera
15/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,8.33,10.56,8.89,,plátano chiapas calidad exportación_primera
16/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,7.78,10.00,8.33,,plátano chiapas calidad exportación_primera
20/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,7.22,9.44,7.78,,plátano chiapas calidad exportación_primera
21/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,7.22,9.44,7.78,,plátano chiapas calidad exportación_primera
22/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,7.22,9.44,7.78,,plátano chiapas calidad exportación_primera
23/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,7.22,9.17,7.78,,plátano chiapas calidad exportación_primera
26/03/2018,Caja de 18 kg.,Chiapas,DF: Central de Abasto de Iztapalapa DF,7.22,8.89,7.78,,plátano chiapas calidad exportación_primera
