fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
18/05/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
21/05/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
22/05/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
23/05/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
24/05/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
25/05/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
28/05/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
29/05/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
30/05/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
31/05/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
01/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
04/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
05/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
06/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
07/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
08/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
11/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
12/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
13/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
14/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
15/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
18/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
19/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
20/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
21/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
22/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
25/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
26/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
27/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
28/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
29/06/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
02/07/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
03/07/2018,Kilogramo,Yucatán,"Yucatán: Mercado ""Casa del Pueblo""",6.00,6.00,6.00,,sandía charleston_primera
