fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,22.69,23.46,23.08,,tomate bola_primera
03/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,22.69,23.46,23.08,,tomate bola_primera
04/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,22.69,23.46,23.08,,tomate bola_primera
05/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,22.69,23.46,23.08,,tomate bola_primera
08/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,22.69,23.46,23.08,,tomate bola_primera
09/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.38,11.15,10.77,,tomate bola_primera
10/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.38,11.15,10.77,,tomate bola_primera
11/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.38,11.15,10.77,,tomate bola_primera
12/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,11.15,11.92,11.54,,tomate bola_primera
15/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,11.15,11.92,11.54,,tomate bola_primera
16/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.38,11.15,10.77,,tomate bola_primera
17/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.38,11.15,10.77,,tomate bola_primera
18/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.38,11.15,10.77,,tomate bola_primera
19/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.38,11.15,10.77,,tomate bola_primera
22/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.85,9.62,9.23,,tomate bola_primera
23/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.85,9.62,9.23,,tomate bola_primera
24/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.85,9.62,9.23,,tomate bola_primera
25/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.85,9.62,9.23,,tomate bola_primera
26/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.08,8.85,8.46,,tomate bola_primera
29/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.08,8.85,8.46,,tomate bola_primera
30/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.08,8.85,8.46,,tomate bola_primera
31/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
01/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
02/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
06/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
07/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
08/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
09/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
12/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
13/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
14/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
15/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
16/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
19/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
20/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate bola_primera
21/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.00,5.77,5.38,,tomate bola_primera
22/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.00,5.77,5.38,,tomate bola_primera
23/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.00,5.77,5.38,,tomate bola_primera
26/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.00,5.77,5.38,,tomate bola_primera
