fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18.08,18.85,18.46,,tomate saladette_primera
02/01/2018,Caja de 32 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.47,10.78,10.63,,tomate saladette_primera
03/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18.08,18.85,18.46,,tomate saladette_primera
03/01/2018,Caja de 32 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.47,10.78,10.63,,tomate saladette_primera
04/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18.08,18.85,18.46,,tomate saladette_primera
04/01/2018,Caja de 32 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.47,10.78,10.63,,tomate saladette_primera
05/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18.08,18.85,18.46,,tomate saladette_primera
05/01/2018,Caja de 32 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.47,10.78,10.63,,tomate saladette_primera
08/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18.08,18.85,18.46,,tomate saladette_primera
08/01/2018,Caja de 32 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.47,10.78,10.63,,tomate saladette_primera
09/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.38,11.15,10.77,,tomate saladette_primera
09/01/2018,Caja de 32 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.16,5.47,5.31,,tomate saladette_primera
10/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.38,11.15,10.77,,tomate saladette_primera
10/01/2018,Caja de 32 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.16,5.47,5.31,,tomate saladette_primera
11/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.38,11.15,10.77,,tomate saladette_primera
11/01/2018,Caja de 32 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.16,5.47,5.31,,tomate saladette_primera
12/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,11.15,11.92,11.54,,tomate saladette_primera
12/01/2018,Caja de 32 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.53,4.84,4.69,,tomate saladette_primera
15/01/2018,Caja de 13 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,11.15,11.92,11.54,,tomate saladette_primera
15/01/2018,Caja de 32 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.53,4.84,4.69,,tomate saladette_primera
16/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.62,10.38,10.00,,tomate saladette_primera
16/01/2018,Caja de 32 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.53,4.84,4.69,,tomate saladette_primera
17/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.62,10.38,10.00,,tomate saladette_primera
17/01/2018,Caja de 32 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.53,4.84,4.69,,tomate saladette_primera
18/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.62,10.38,10.00,,tomate saladette_primera
18/01/2018,Caja de 32 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.53,4.84,4.69,,tomate saladette_primera
19/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.62,10.38,10.00,,tomate saladette_primera
19/01/2018,Caja de 32 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.53,4.84,4.69,,tomate saladette_primera
22/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.62,10.38,10.00,,tomate saladette_primera
22/01/2018,Caja de 32 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.09,6.41,6.25,,tomate saladette_primera
23/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.62,10.38,10.00,,tomate saladette_primera
23/01/2018,Caja de 32 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.09,6.41,6.25,,tomate saladette_primera
24/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.62,10.38,10.00,,tomate saladette_primera
24/01/2018,Caja de 32 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.09,6.41,6.25,,tomate saladette_primera
25/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.62,10.38,10.00,,tomate saladette_primera
25/01/2018,Caja de 32 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.09,6.41,6.25,,tomate saladette_primera
26/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.85,9.62,9.23,,tomate saladette_primera
26/01/2018,Caja de 32 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.09,6.41,6.25,,tomate saladette_primera
29/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.85,9.62,9.23,,tomate saladette_primera
29/01/2018,Caja de 32 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.09,6.41,6.25,,tomate saladette_primera
30/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8.85,9.62,9.23,,tomate saladette_primera
30/01/2018,Caja de 32 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.09,6.41,6.25,,tomate saladette_primera
31/01/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate saladette_primera
31/01/2018,Caja de 32 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.53,4.84,4.69,,tomate saladette_primera
01/02/2018,Caja de 13 kg.,Sinaloa,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.31,8.08,7.69,,tomate saladette_primera
