fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
22/11/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
25/11/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
26/11/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
27/11/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
28/11/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
29/11/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
02/12/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
03/12/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
04/12/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
05/12/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
06/12/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
09/12/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
10/12/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
11/12/2019,Kilogramo,Veracruz,"Baja California : Central de Abasto INDIA, Tijuana",20.00,20.00,20.00,,toronja blanca_primera
