fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
28/09/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",14.67,14.67,14.67,"Variedades, amarilla y roja.",tuna_primera
01/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",14.67,14.67,14.67,"Variedaddes, amarilla y roja.",tuna_primera
02/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",14.67,14.67,14.67,,tuna_primera
03/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",13.33,14.67,14.00,"Colores, amarilla y roja.",tuna_primera
04/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",13.33,14.67,14.00,,tuna_primera
05/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",14.00,14.67,14.67,"VARIEDADES, AMARILLA Y ROJA.",tuna_primera
08/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",12.67,13.33,12.67,"Variedades, roja y amarilla.",tuna_primera
09/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",12.67,13.33,12.67,Variedades roja y amarilla.,tuna_primera
10/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",12.67,13.00,12.67,"Variedaddes, amarilla y roja.",tuna_primera
11/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",12.67,13.00,12.67,Variedades amarilla y roja.,tuna_primera
12/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",17.33,17.33,17.33,"Vriedades, amarilla y roja.",tuna_primera
15/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",17.33,17.33,17.33,Variedades: amarilla y roja.,tuna_primera
16/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",17.33,17.33,17.33,Variedades amarilla y roja.,tuna_primera
17/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",16.67,17.33,16.67,Variedades: amarilla y roja.,tuna_primera
18/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",16.67,17.33,16.67,Variedades amarilla y roja.,tuna_primera
19/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",16.67,17.33,17.33,"Variedades, amarilla y roja.",tuna_primera
22/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",17.33,17.33,17.33,"Variedades, amarilla y roja.",tuna_primera
23/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",17.33,18.67,17.67,Variedades amarilla y roja.,tuna_primera
24/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",17.33,18.00,18.00,"Variedades, amarilla y roja.",tuna_primera
25/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",17.33,18.00,18.00,Variedades amarilla y roja.,tuna_primera
26/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",15.33,17.33,15.33,"Variedades, amarilla y roja.                                       ",tuna_primera
29/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",15.33,17.33,16.00,"Variedades, amarilla y roja.",tuna_primera
30/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",15.33,17.33,16.00,Variedades amarilla y roja.,tuna_primera
31/10/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",15.33,17.33,15.33,"Variedades, amarilla y roja.",tuna_primera
01/11/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",15.33,17.33,15.33,Variedades amarilla y roja.,tuna_primera
05/11/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",15.33,16.67,15.33,"Variedades, amarilla y roja.",tuna_primera
06/11/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",15.33,16.67,15.33,Variedades amarilla y roja.,tuna_primera
07/11/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",15.33,16.00,16.00,"Variedades, amarilla y roja.",tuna_primera
08/11/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",15.33,16.67,16.67,"Variedades, amarilla y roja.",tuna_primera
09/11/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",15.33,16.67,16.67,Variedades amarilla y roja.,tuna_primera
12/11/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",15.33,16.00,16.00,"Variedades, amarilla y roja.",tuna_primera
13/11/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",15.33,16.00,16.00,Variedades amarilla y roja.,tuna_primera
14/11/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",16.00,16.67,16.00,"Variedades, amarilla y roja.",tuna_primera
15/11/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",16.00,16.67,16.00,Variedades amarilla y roja.,tuna_primera
16/11/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",16.00,17.33,16.00,"Variedades, amarilla y roja.",tuna_primera
20/11/2018,Caja de 15 kg.,México,"Durango: Central de Abasto ""Francisco Villa""",16.00,17.33,16.67,Variedades amarilla y roja.,tuna_primera
04/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,9.38,10.00,9.38,,tuna_primera
05/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,8.75,9.38,8.75,,tuna_primera
06/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,8.75,9.38,8.75,,tuna_primera
09/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,7.50,8.13,7.50,,tuna_primera
10/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,7.50,8.13,8.13,,tuna_primera
11/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,6.88,7.50,7.50,,tuna_primera
12/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,6.88,7.50,6.88,,tuna_primera
13/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,6.25,6.88,6.25,,tuna_primera
16/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,6.25,6.88,6.25,,tuna_primera
17/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,5.63,6.25,6.25,,tuna_primera
18/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,5.63,6.25,5.63,,tuna_primera
19/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,5.63,6.25,5.63,,tuna_primera
20/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,4.38,5.00,5.00,,tuna_primera
23/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,5.00,5.63,5.00,,tuna_primera
24/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,5.00,5.63,5.00,,tuna_primera
25/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,4.38,5.00,4.38,,tuna_primera
26/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,4.38,5.00,4.38,,tuna_primera
27/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,4.38,5.00,4.38,,tuna_primera
30/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,4.38,4.69,4.38,,tuna_primera
31/07/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,4.38,5.00,4.69,,tuna_primera
01/08/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,4.38,4.69,4.38,,tuna_primera
02/08/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,4.06,4.38,4.38,,tuna_primera
03/08/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,4.06,4.69,4.38,,tuna_primera
06/08/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,4.38,4.69,4.38,,tuna_primera
07/08/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,3.75,4.38,4.06,,tuna_primera
08/08/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,4.06,4.38,4.38,,tuna_primera
09/08/2018,Caja de 16 kg.,México,México: Central de Abasto de Toluca,4.06,4.38,4.06,,tuna_primera
