fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,45.00,Origen Chile.,uva pasa_primera
03/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
04/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",42.00,50.00,43.00,Origen Chile.,uva pasa_primera
05/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",42.00,43.00,42.00,Origen Chile.,uva pasa_primera
08/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",42.00,43.00,42.50,Origen Chile.,uva pasa_primera
09/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",42.00,43.00,42.50,Origen Chile.,uva pasa_primera
10/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",42.00,43.00,42.50,Origen Chile.,uva pasa_primera
11/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",38.00,42.00,40.00,Origen U.S.A.,uva pasa_primera
12/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",45.00,48.00,47.00,Origen Chile.,uva pasa_primera
15/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",45.00,47.50,46.00,Origen Chile.,uva pasa_primera
16/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",46.00,47.00,46.00,Origen Chile.,uva pasa_primera
17/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",47.00,48.00,48.00,Origen Chile.,uva pasa_primera
18/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",48.00,49.50,48.00,Origen Chile.,uva pasa_primera
19/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",48.00,50.00,49.00,Origen Chile.,uva pasa_primera
22/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
23/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
24/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile,uva pasa_primera
25/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.50,Origen Chile.,uva pasa_primera
26/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
29/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
30/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
31/01/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
01/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.50,Origen Chile.,uva pasa_primera
02/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
06/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.50,Origen Chile.,uva pasa_primera
07/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
08/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.50,Origen Chile.,uva pasa_primera
09/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
12/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Orgen Chile.,uva pasa_primera
13/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
14/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.50,Origen Chile.,uva pasa_primera
15/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.50,Origen Chile.,uva pasa_primera
16/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.00,Origen Chile.,uva pasa_primera
19/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.50,Origen Chile.,uva pasa_primera
20/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.50,Origen Chile.,uva pasa_primera
21/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.00,Origen Chile.,uva pasa_primera
22/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.50,Origen Chile.,uva pasa_primera
23/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.50,Origen Chile.,uva pasa_primera
26/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.00,Origen U.S.A.,uva pasa_primera
27/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.00,Origen Chile.,uva pasa_primera
28/02/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.00,Origen Chile.,uva pasa_primera
01/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.00,Origen Chile.,uva pasa_primera
02/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,44.00,43.50,Origen Chile.,uva pasa_primera
05/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
06/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,44.00,Origen Chile.,uva pasa_primera
07/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.50,Origen Chile.,uva pasa_primera
08/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.50,Origen U.S.A.,uva pasa_primera
09/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.00,Origen Chile.,uva pasa_primera
12/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,45.00,Origen Chile.,uva pasa_primera
13/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,44.50,Origen Chile.,uva pasa_primera
14/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.50,Origen Chile.,uva pasa_primera
15/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,44.00,Origen U.S.A.,uva pasa_primera
16/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
20/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen U.S.A.,uva pasa_primera
21/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
22/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.50,Origen U.S.A.,uva pasa_primera
23/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
26/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
27/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
28/03/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
02/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
03/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.50,Origen Chile.,uva pasa_primera
04/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",42.00,45.00,43.00,Origen Chile.,uva pasa_primera
05/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",42.50,45.50,43.50,Origen Chile.,uva pasa_primera
06/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",42.50,45.00,43.00,Origen Chile.,uva pasa_primera
09/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
10/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.50,45.00,43.50,Origen Chile.,uva pasa_primera
11/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
12/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",42.50,45.00,43.00,Origen Chile.,uva pasa_primera
13/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen U.S.A.,uva pasa_primera
16/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
17/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.50,Origen Chile.,uva pasa_primera
18/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
19/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.50,Origen Chile.,uva pasa_primera
20/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,45.00,Origen Chile.,uva pasa_primera
23/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
24/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,44.00,Origen Chile.,uva pasa_primera
25/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.00,Origfen Chjle.,uva pasa_primera
26/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,43.50,43.00,Origen Chile.,uva pasa_primera
27/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
30/04/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen U.S.A.,uva pasa_primera
02/05/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
03/05/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
04/05/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen U.S.A.,uva pasa_primera
07/05/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
08/05/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
09/05/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
10/05/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
11/05/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
14/05/2018,Caja de 10 kg.,Importación,"Durango: Central de Abasto ""Francisco Villa""",43.00,45.00,43.00,Origen Chile.,uva pasa_primera
