fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
14/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,41.25,43.75,41.25,,uva perlette_primera
15/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,41.25,43.75,41.25,,uva perlette_primera
16/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,41.25,43.75,41.25,,uva perlette_primera
17/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,41.25,43.75,41.25,,uva perlette_primera
18/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,41.25,43.75,41.25,,uva perlette_primera
21/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,41.25,43.75,41.25,,uva perlette_primera
22/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,41.25,43.75,41.25,,uva perlette_primera
23/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
24/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
25/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
28/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
29/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
30/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
31/05/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
01/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
04/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
05/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
06/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
07/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
08/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
11/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
12/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
13/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
14/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
15/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
18/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
19/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
20/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
21/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
22/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
25/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
26/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
27/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
28/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
29/06/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
02/07/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
03/07/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
04/07/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
05/07/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
06/07/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
09/07/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
10/07/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
11/07/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
12/07/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
13/07/2018,Caja de 8 kg.,Sonora,Jalisco: Mercado de Abasto de Guadalajara,37.50,38.75,37.50,,uva perlette_primera
