fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,53.13,54.38,53.75,,uva superior_primera
03/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,53.13,54.38,53.75,,uva superior_primera
04/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,53.13,54.38,53.75,,uva superior_primera
05/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,53.13,54.38,53.75,,uva superior_primera
08/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,53.13,54.38,53.75,,uva superior_primera
09/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,49.38,50.63,50.00,,uva superior_primera
10/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,49.38,50.63,50.00,,uva superior_primera
11/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,49.38,50.63,50.00,,uva superior_primera
12/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,46.88,48.13,47.50,,uva superior_primera
15/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,46.88,48.13,47.50,,uva superior_primera
16/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,46.88,48.13,47.50,,uva superior_primera
17/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,46.88,48.13,47.50,,uva superior_primera
18/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,46.88,48.13,47.50,,uva superior_primera
19/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,46.88,48.13,47.50,,uva superior_primera
22/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,46.88,48.13,47.50,,uva superior_primera
23/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,46.88,48.13,47.50,,uva superior_primera
24/01/2018,Caja de 8 kg.,Importación,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,46.88,48.13,47.50,,uva superior_primera
