Name,ID
Resumen cultivos,0
Agave,6
Aguacate,7
Ajo,8
Ajonjolí,9
Alfalfa,15
Algodón hueso,17
Amaranto,27
Arroz palay,36
Avena forrajera en verde,42
Avena grano,43
Berenjena,53
Brócoli,57
Cacao,60
Café cereza,61
Calabacita,63
Caña de azúcar,70
Cártamo,74
Cebada grano,77
Cebolla,78
Chile verde,89
Coliflor,105
Copra,110
Crisantemo,112
Durazno,122
Elote,128
Espárrago,132
Frambuesa,149
Fresa,150
Frijol,152
Garbanzo grano,159
Gerbera,163
Gladiola,168
Guayaba,175
Lechuga,206
Limón,212
Maguey pulquero,222
Maíz forrajero en verde,224
Maíz grano,225
Mango,230
Manzana,234
Melón,241
Naranja,259
Nopalitos,268
Nuez,272
Papa,283
Papaya,285
Pepino,289
Pera,290
Piña,296
Plátano,304
Rosa,320
Sandía,326
Sorgo forrajero en verde,373
Sorgo grano,374
Soya,375
Tabaco,379
Tomate rojo (jitomate),389
Tomate verde,390
Toronja (pomelo),392
Trigo grano,395
Tuna,400
Uva,401
Zanahoria,416
Zarzamora,420
