Name,ID
Todos,0
Aguascalientes,1
Asientos,2
Calvillo,3
Cosío,4
El Llano,10
Jesús María,48
Pabellón de Arteaga,6
Rincón de Romos,7
San Francisco de Los Romo,11
San José de Gracia,8
Tepezalá,9
Ensenada,1
Mexicali,2
Playas de Rosarito,5
San Felipe,65
San Quintín,6
Tecate,3
Tijuana,4
Comondú,1
La Paz,70
Loreto,24
Los Cabos,8
Mulegé,2
Calakmul,10
Calkiní,1
Campeche,2
Candelaria,11
Carmen,3
Champotón,4
Dzitbalché,13
Escárcega,9
Hecelchakán,5
Hopelchén,6
Palizada,7
Seybaplaya,12
Tenabo,8
Abasolo,1
Acuña,2
Allende,4
Arteaga,10
Candela,5
Castaños,6
Cuatro Ciénegas,7
Escobedo,8
Francisco I. Madero,23
Frontera,10
General Cepeda,11
Guerrero,14
Hidalgo,16
Jiménez,18
Juárez,31
Lamadrid,16
Matamoros,22
Monclova,18
Morelos,32
Múzquiz,20
Nadadores,21
Nava,22
Ocampo,29
Parras,24
Piedras Negras,25
Progreso,59
Ramos Arizpe,27
Sabinas,28
Sacramento,29
Saltillo,30
San Buenaventura,31
San Juan de Sabinas,32
San Pedro,33
Sierra Mojada,34
Torreón,35
Viesca,36
Villa Unión,37
Zaragoza,199
Armería,1
Colima,2
Comala,3
Coquimatlán,4
Cuauhtémoc,8
Ixtlahuacán,6
Manzanillo,7
Minatitlán,108
Tecomán,9
Villa de Álvarez,10
Acacoyagua,1
Acala,2
Acapetahua,3
Aldama,2
Altamirano,4
Amatán,5
Amatenango de La Frontera,6
Amatenango del Valle,7
Angel Albino Corzo,8
Arriaga,9
Bejucal de Ocampo,10
Bella Vista,11
Benemérito de Las Américas,114
Berriozábal,12
Bochil,13
Cacahoatán,15
Capitán Luis Ángel Vidal,120
Catazajá,16
Chalchihuitán,22
Chamula,23
Chanal,24
Chapultenango,25
Chenalhó,26
Chiapa de Corzo,27
Chiapilla,28
Chicoasén,29
Chicomuselo,30
Chilón,31
Cintalapa,17
Coapilla,18
Comitán de Domínguez,19
Copainalá,21
El Bosque,14
El Parral,122
El Porvenir,70
Emiliano Zapata,65
Escuintla,32
Francisco León,33
Frontera Comalapa,34
Frontera Hidalgo,35
Honduras de la Sierra,125
Huehuetán,37
Huitiupán,39
Huixtán,38
Huixtla,40
Ixhuatán,42
Ixtacomitán,43
Ixtapa,44
Ixtapangajoya,45
Jiquipilas,46
Jitotol,47
La Concordia,20
La Grandeza,36
La Independencia,41
La Libertad,50
La Trinitaria,99
Larráinzar,49
Las Margaritas,52
Las Rosas,75
Mapastepec,51
Maravilla Tenejapa,115
Marqués de Comillas,116
Mazapa de Madero,53
Mazatán,37
Metapa,55
Mezcalapa,124
Mitontic,56
Montecristo de Guerrero,117
Motozintla,57
Nicolás Ruíz,58
Ocosingo,59
Ocotepec,105
Ocozocoautla de Espinosa,61
Ostuacán,62
Osumacinta,63
Oxchuc,64
Palenque,65
Pantelhó,66
Pantepec,111
Pichucalco,68
Pijijiapan,69
Pueblo Nuevo Solistahuacán,72
Rayón,50
Reforma,74
Rincón Chamula San Pedro,121
Sabanilla,76
Salto de Agua,77
San Andrés Duraznal,118
San Cristóbal de Las Casas,78
San Fernando,35
San Juan Cancuc,112
San Lucas,77
Santiago El Pinar,119
Siltepec,80
Simojovel,81
Sitalá,82
Socoltenango,83
Solosuchiapa,84
Soyaló,85
Suchiapa,86
Suchiate,87
Sunuapa,88
Tapachula,89
Tapalapa,90
Tapilula,91
Tecpatán,92
Tenejapa,93
Teopisca,94
Tila,96
Tonalá,101
Totolapa,98
Tumbalá,100
Tuxtla Chico,102
Tuxtla Gutiérrez,101
Tuzantán,103
Tzimol,104
Unión Juárez,105
Venustiano Carranza,194
Villa Comaltitlán,71
Villa Corzo,107
Villaflores,108
Yajalón,109
Zinacantán,111
Ahumada,1
Aquiles Serdán,4
Ascensión,5
Bachíniva,6
Balleza,7
Batopilas,8
Bocoyna,9
Buenaventura,10
Camargo,7
Carichí,12
Casas Grandes,13
Chihuahua,19
Chínipas,20
Coronado,14
Coyame del Sotol,15
Cusihuiriachi,18
Delicias,21
Dr. Belisario Domínguez,22
El Tule,64
Galeana,17
Gómez Farías,11
Gran Morelos,26
Guachochi,27
Guadalupe,17
Guadalupe Y Calvo,29
Guazapares,30
Hidalgo del Parral,32
Huejotitán,33
Ignacio Zaragoza,34
Janos,35
Julimes,38
La Cruz,16
López,39
Madera,40
Maguarichi,41
Manuel Benavides,42
