Entidad,Municipio,Superficie Sembrada,Superficie Cosechada,Superficie Siniestrada,Produccion,Rendimiento,Anio,Mes,Cultivo
Aguascalientes,Aguascalientes,8.00,0.00,0.00,0.00,0,2022,9,6
Colima,Manzanillo,1.40,0.00,0.00,0.00,0,2022,9,6
Durango,Durango,12.00,0.00,0.00,0.00,0,2022,9,6
Durango,Mezquital,110.00,0.00,0.00,0.00,0,2022,9,6
Durango,Nombre de Dios,170.00,0.00,0.00,0.00,0,2022,9,6
Durango,Súchil,50.00,0.00,0.00,0.00,0,2022,9,6
Durango,Vicente Guerrero,20.00,0.00,0.00,0.00,0,2022,9,6
Guanajuato,Abasolo,"1,090.00",55.00,0.00,"4,180.00",76.00,2022,9,6
Guanajuato,Acámbaro,22.00,2.00,0.00,170.00,85.00,2022,9,6
Guanajuato,San Miguel de Allende,10.00,0.00,0.00,0.00,0,2022,9,6
Guanajuato,Apaseo El Alto,7.00,0.00,0.00,0.00,0,2022,9,6
Guanajuato,Apaseo El Grande,13.00,1.00,0.00,60.00,60.00,2022,9,6
Guanajuato,Celaya,15.00,2.00,0.00,133.40,66.70,2022,9,6
Guanajuato,Manuel Doblado,"2,992.00",430.00,0.00,"38,270.00",89.00,2022,9,6
Guanajuato,Comonfort,51.00,12.20,0.00,491.90,40.32,2022,9,6
Guanajuato,Cortazar,6.00,0.00,0.00,0.00,0,2022,9,6
Guanajuato,Cuerámaro,784.00,42.00,0.00,"2,982.00",71.00,2022,9,6
Guanajuato,Guanajuato,180.00,40.00,0.00,"3,160.00",79.00,2022,9,6
Guanajuato,Huanímaro,"1,705.00",80.00,0.00,"6,240.00",78.00,2022,9,6
Guanajuato,Irapuato,130.00,10.00,0.00,720.00,72.00,2022,9,6
Guanajuato,Jerécuaro,62.00,1.00,0.00,58.00,58.00,2022,9,6
Guanajuato,León,230.00,36.00,0.00,"2,592.00",72.00,2022,9,6
Guanajuato,Pénjamo,"5,254.00",242.50,0.00,"15,085.80",62.21,2022,9,6
Guanajuato,Pueblo Nuevo,57.00,5.00,0.00,375.00,75.00,2022,9,6
Guanajuato,Purísima del Rincón,"1,650.00",315.00,0.00,"28,665.00",91.00,2022,9,6
Guanajuato,Romita,"5,144.00",815.00,0.00,"66,830.00",82.00,2022,9,6
Guanajuato,Salamanca,24.00,6.00,0.00,534.00,89.00,2022,9,6
Guanajuato,San Felipe,"3,460.00",150.00,0.00,"10,350.00",69.00,2022,9,6
Guanajuato,San Francisco del Rincón,"2,150.00",430.00,0.00,"38,915.00",90.50,2022,9,6
Guanajuato,San José Iturbide,25.00,0.00,0.00,0.00,0,2022,9,6
Guanajuato,San Luis de La Paz,900.00,52.00,0.00,"2,766.40",53.20,2022,9,6
Guanajuato,Santa Cruz de Juventino Rosas,38.00,1.00,0.00,60.50,60.50,2022,9,6
Guanajuato,Silao de La Victoria,810.00,250.00,0.00,"20,500.00",82.00,2022,9,6
Guanajuato,Tarandacuao,6.00,0.00,0.00,0.00,0,2022,9,6
Guanajuato,Tarimoro,17.00,2.00,0.00,122.00,61.00,2022,9,6
Guanajuato,Valle de Santiago,70.00,6.00,0.00,450.00,75.00,2022,9,6
Guanajuato,Villagrán,4.00,0.00,0.00,0.00,0,2022,9,6
Guerrero,Ahuacuotzingo,45.00,0.00,0.00,0.00,0,2022,9,6
Guerrero,Atenango del Río,30.00,3.00,0.00,115.30,38.43,2022,9,6
Guerrero,Copalillo,4.00,0.00,0.00,0.00,0,2022,9,6
Guerrero,Cuetzala del Progreso,11.00,7.50,0.00,202.60,27.01,2022,9,6
Guerrero,Chilapa de Álvarez,21.00,0.00,0.00,0.00,0,2022,9,6
Guerrero,Chilpancingo de Los Bravo,150.00,0.00,0.00,0.00,0,2022,9,6
